id,value,location,sample date,measure
2563733,0.014,Boonsri,11-Apr-14,Orthophosphate-phosphorus
2563735,5.6,Boonsri,11-Apr-14,Dissolved silicates
2563736,20,Boonsri,11-Apr-14,Sodium
2563737,2,Boonsri,11-Apr-14,Potassium
2563739,10.67,Boonsri,11-Apr-14,Magnesium
2563741,28.06,Boonsri,11-Apr-14,Sulphates
913371,0.283,Sakda,11-Apr-14,Methylosmoline
914326,0.334,Sakda,11-Apr-14,Methylosmoline
915291,0.26,Sakda,11-Apr-14,Methylosmoline
910599,0.276,Kannika,14-Apr-14,Methylosmoline
911502,0.342,Kannika,14-Apr-14,Methylosmoline
912419,0.318,Kannika,14-Apr-14,Methylosmoline
2564841,8.43,Somchair,18-Apr-14,Dissolved oxygen
2564844,538,Somchair,18-Apr-14,Total dissolved salts
2564846,0.028,Somchair,18-Apr-14,Nitrites
2564847,2.24757,Somchair,18-Apr-14,Nitrates
2564849,0.03,Somchair,18-Apr-14,Orthophosphate-phosphorus
2564854,0,Somchair,18-Apr-14,"p,p-DDT"
2564855,0,Somchair,18-Apr-14,gamma-Hexachlorocyclohexane
2565829,8.21,Busarakhan,18-Apr-14,Dissolved oxygen
2565832,517,Busarakhan,18-Apr-14,Total dissolved salts
2565834,0.0201,Busarakhan,18-Apr-14,Nitrites
2565835,1.6582,Busarakhan,18-Apr-14,Nitrates
2565837,0.07335,Busarakhan,18-Apr-14,Orthophosphate-phosphorus
2565839,1.42,Busarakhan,18-Apr-14,Dissolved silicates
2565843,0,Busarakhan,18-Apr-14,"p,p-DDT"
2565844,0,Busarakhan,18-Apr-14,gamma-Hexachlorocyclohexane
2567245,9,Achara,18-Apr-14,Dissolved oxygen
2567246,82,Achara,18-Apr-14,Oxygen saturation
2567248,144.4,Achara,18-Apr-14,Total hardness
2567252,190,Achara,18-Apr-14,Total dissolved salts
2567254,0.031,Achara,18-Apr-14,Nitrites
2567255,1.09,Achara,18-Apr-14,Nitrates
2567257,0.024,Achara,18-Apr-14,Orthophosphate-phosphorus
2567259,1.9,Achara,18-Apr-14,Dissolved silicates
2567260,9.2,Achara,18-Apr-14,Sodium
2567261,2.6,Achara,18-Apr-14,Potassium
2567263,8.8,Achara,18-Apr-14,Magnesium
2567265,30.9,Achara,18-Apr-14,Sulphates
2567267,0.07,Achara,18-Apr-14,Manganese
2567273,0.03,Achara,18-Apr-14,Mercury
2567280,0,Achara,18-Apr-14,"p,p-DDT"
2567281,0,Achara,18-Apr-14,gamma-Hexachlorocyclohexane
2566691,9.8,Decha,19-Apr-14,Dissolved oxygen
2566693,195,Decha,19-Apr-14,Total hardness
2566697,234,Decha,19-Apr-14,Total dissolved salts
2566699,0.018,Decha,19-Apr-14,Nitrites
2566700,0.719,Decha,19-Apr-14,Nitrates
2566702,0.015,Decha,19-Apr-14,Orthophosphate-phosphorus
2566704,3.104,Decha,19-Apr-14,Dissolved silicates
2566705,20.92,Decha,19-Apr-14,Sodium
2566706,2.814,Decha,19-Apr-14,Potassium
2566708,21.02,Decha,19-Apr-14,Magnesium
2566710,31.9,Decha,19-Apr-14,Sulphates
2566712,0,Decha,19-Apr-14,Manganese
2566723,0.2,Decha,19-Apr-14,Petroleum hydrocarbons
2566725,0,Decha,19-Apr-14,"p,p-DDT"
2566726,0,Decha,19-Apr-14,gamma-Hexachlorocyclohexane
2561402,9.71,Boonsri,23-Apr-14,Dissolved oxygen
2561403,97.34,Boonsri,23-Apr-14,Oxygen saturation
2561405,173.56,Boonsri,23-Apr-14,Total hardness
2561409,171,Boonsri,23-Apr-14,Total dissolved salts
2561411,0.01,Boonsri,23-Apr-14,Nitrites
2561412,0.652,Boonsri,23-Apr-14,Nitrates
2561413,0.014,Boonsri,23-Apr-14,Orthophosphate-phosphorus
2561415,4.3,Boonsri,23-Apr-14,Dissolved silicates
2561416,14,Boonsri,23-Apr-14,Sodium
2561417,1,Boonsri,23-Apr-14,Potassium
2561419,7.76,Boonsri,23-Apr-14,Magnesium
2561421,28.32,Boonsri,23-Apr-14,Sulphates
2561422,35.3,Boonsri,23-Apr-14,Zinc
2561424,3.579,Boonsri,23-Apr-14,Copper
2561428,1.466,Boonsri,23-Apr-14,Lead
2561432,0.101,Boonsri,23-Apr-14,Mercury
2561434,2,Boonsri,23-Apr-14,Nickel
2561445,0,Boonsri,23-Apr-14,"p,p-DDT"
2561446,0,Boonsri,23-Apr-14,gamma-Hexachlorocyclohexane
2562669,9.81,Boonsri,23-Apr-14,Dissolved oxygen
2562670,98.32,Boonsri,23-Apr-14,Oxygen saturation
2562672,165.54,Boonsri,23-Apr-14,Total hardness
2562676,198,Boonsri,23-Apr-14,Total dissolved salts
2562678,0.011,Boonsri,23-Apr-14,Nitrites
2562679,0.647,Boonsri,23-Apr-14,Nitrates
2562680,0.01,Boonsri,23-Apr-14,Orthophosphate-phosphorus
2562682,4.1,Boonsri,23-Apr-14,Dissolved silicates
2562683,14,Boonsri,23-Apr-14,Sodium
2562684,1,Boonsri,23-Apr-14,Potassium
2562686,11.64,Boonsri,23-Apr-14,Magnesium
2562688,31.92,Boonsri,23-Apr-14,Sulphates
2562689,48,Boonsri,23-Apr-14,Zinc
2562691,4.19,Boonsri,23-Apr-14,Copper
2562695,1.412,Boonsri,23-Apr-14,Lead
2562699,0.06,Boonsri,23-Apr-14,Mercury
2562701,2,Boonsri,23-Apr-14,Nickel
2562711,0,Boonsri,23-Apr-14,"p,p-DDT"
2562712,0,Boonsri,23-Apr-14,gamma-Hexachlorocyclohexane
2563764,9.45,Boonsri,23-Apr-14,Dissolved oxygen
2563765,94.74,Boonsri,23-Apr-14,Oxygen saturation
2563767,161.44,Boonsri,23-Apr-14,Total hardness
2563771,207,Boonsri,23-Apr-14,Total dissolved salts
2563773,0.008,Boonsri,23-Apr-14,Nitrites
2563774,0.666,Boonsri,23-Apr-14,Nitrates
2563775,0.01,Boonsri,23-Apr-14,Orthophosphate-phosphorus
2563777,4.1,Boonsri,23-Apr-14,Dissolved silicates
2563778,16,Boonsri,23-Apr-14,Sodium
2563779,1,Boonsri,23-Apr-14,Potassium
2563781,10.67,Boonsri,23-Apr-14,Magnesium
2563783,29.13,Boonsri,23-Apr-14,Sulphates
2563784,45.1,Boonsri,23-Apr-14,Zinc
2563786,4.255,Boonsri,23-Apr-14,Copper
2563790,1.305,Boonsri,23-Apr-14,Lead
2563794,0.219,Boonsri,23-Apr-14,Mercury
2563796,2.003,Boonsri,23-Apr-14,Nickel
2563807,0,Boonsri,23-Apr-14,"p,p-DDT"
2563808,0,Boonsri,23-Apr-14,gamma-Hexachlorocyclohexane
2627443,8.22,Kohsoom,23-Apr-14,Dissolved oxygen
2627444,89.6,Kohsoom,23-Apr-14,Oxygen saturation
2627446,326.9,Kohsoom,23-Apr-14,Total hardness
2627450,396,Kohsoom,23-Apr-14,Total dissolved salts
2627452,0.064,Kohsoom,23-Apr-14,Nitrites
2627453,0.554,Kohsoom,23-Apr-14,Nitrates
2627455,0.171,Kohsoom,23-Apr-14,Orthophosphate-phosphorus
2627457,28.9,Kohsoom,23-Apr-14,Sodium
2627458,3.5,Kohsoom,23-Apr-14,Potassium
2627460,17.1,Kohsoom,23-Apr-14,Magnesium
2627462,60.961,Kohsoom,23-Apr-14,Sulphates
2627463,6.2,Kohsoom,23-Apr-14,Zinc
2627465,2.2,Kohsoom,23-Apr-14,Copper
2627469,0.52,Kohsoom,23-Apr-14,Lead
2627473,4.6,Kohsoom,23-Apr-14,Nickel
2627484,0,Kohsoom,23-Apr-14,"p,p-DDT"
2627485,0,Kohsoom,23-Apr-14,gamma-Hexachlorocyclohexane
2566730,0.032,Decha,25-Apr-14,Nitrites
2566731,0.719,Decha,25-Apr-14,Nitrates
2566733,0.042,Decha,25-Apr-14,Orthophosphate-phosphorus
2578089,9.11,Chai,26-Apr-14,Dissolved oxygen
2578092,313,Chai,26-Apr-14,Total dissolved salts
2578094,0.0149,Chai,26-Apr-14,Nitrites
2578095,1.61816,Chai,26-Apr-14,Nitrates
2578097,0.02934,Chai,26-Apr-14,Orthophosphate-phosphorus
2578099,2.38,Chai,26-Apr-14,Dissolved silicates
2579085,9.12,Chai,26-Apr-14,Dissolved oxygen
2579088,272,Chai,26-Apr-14,Total dissolved salts
2579090,0.0149,Chai,26-Apr-14,Nitrites
2579091,1.5983,Chai,26-Apr-14,Nitrates
2579093,0.04238,Chai,26-Apr-14,Orthophosphate-phosphorus
2579095,2.39,Chai,26-Apr-14,Dissolved silicates
2580079,9.02,Chai,26-Apr-14,Dissolved oxygen
2580082,266,Chai,26-Apr-14,Total dissolved salts
2580084,0.0161,Chai,26-Apr-14,Nitrites
2580085,1.61816,Chai,26-Apr-14,Nitrates
2580087,0.05216,Chai,26-Apr-14,Orthophosphate-phosphorus
2580089,2.37,Chai,26-Apr-14,Dissolved silicates
902402,0.27,Chai,28-Apr-14,Methylosmoline
903527,0.326,Chai,28-Apr-14,Methylosmoline
904661,0.277,Chai,28-Apr-14,Methylosmoline
2564873,8.13,Somchair,2-May-14,Dissolved oxygen
2564876,389,Somchair,2-May-14,Total dissolved salts
2564878,0.024,Somchair,2-May-14,Nitrites
2564879,2.0478,Somchair,2-May-14,Nitrates
2564881,0.03,Somchair,2-May-14,Orthophosphate-phosphorus
2564883,22.8,Somchair,2-May-14,Sodium
2564884,2.4,Somchair,2-May-14,Potassium
2564886,25.77,Somchair,2-May-14,Magnesium
2564888,62.7,Somchair,2-May-14,Sulphates
2565862,7.91,Busarakhan,2-May-14,Dissolved oxygen
2565863,280,Busarakhan,2-May-14,Total hardness
2565866,496,Busarakhan,2-May-14,Total dissolved salts
2565868,0.0231,Busarakhan,2-May-14,Nitrites
2565869,1.73568,Busarakhan,2-May-14,Nitrates
2565871,0.0274,Busarakhan,2-May-14,Orthophosphate-phosphorus
2565873,1.45,Busarakhan,2-May-14,Dissolved silicates
2565874,26.9,Busarakhan,2-May-14,Sodium
2565875,3.8,Busarakhan,2-May-14,Potassium
2565877,23.34,Busarakhan,2-May-14,Magnesium
2565879,136.7,Busarakhan,2-May-14,Sulphates
905673,0.28,Somchair,3-May-14,Methylosmoline
906263,0.309,Busarakhan,3-May-14,Methylosmoline
2622917,8.59,Kannika,8-May-14,Dissolved oxygen
2622919,178.5,Kannika,8-May-14,Total hardness
2622923,261.4,Kannika,8-May-14,Total dissolved salts
2622925,0.0128,Kannika,8-May-14,Nitrites
2622926,1.0396,Kannika,8-May-14,Nitrates
2622928,0.017,Kannika,8-May-14,Orthophosphate-phosphorus
2622931,12.22,Kannika,8-May-14,Magnesium
2622933,28.46,Kannika,8-May-14,Sulphates
2622947,0,Kannika,8-May-14,"p,p-DDT"
2622948,0,Kannika,8-May-14,gamma-Hexachlorocyclohexane
2622949,42.79,Kannika,8-May-14,Macrozoobenthos
2623418,8.53,Kannika,8-May-14,Dissolved oxygen
2623420,168.6,Kannika,8-May-14,Total hardness
2623424,152.5,Kannika,8-May-14,Total dissolved salts
2623426,0.0109,Kannika,8-May-14,Nitrites
2623427,0.96954,Kannika,8-May-14,Nitrates
2623429,0.0127,Kannika,8-May-14,Orthophosphate-phosphorus
2623432,11.73,Kannika,8-May-14,Magnesium
2623434,32.14,Kannika,8-May-14,Sulphates
2623448,0,Kannika,8-May-14,"p,p-DDT"
2623449,0,Kannika,8-May-14,gamma-Hexachlorocyclohexane
2623451,32.46,Kannika,8-May-14,Macrozoobenthos
2623920,8.45,Kannika,8-May-14,Dissolved oxygen
2623922,172.5,Kannika,8-May-14,Total hardness
2623926,265.2,Kannika,8-May-14,Total dissolved salts
2623928,0.0109,Kannika,8-May-14,Nitrites
2623929,0.98988,Kannika,8-May-14,Nitrates
2623931,0.015,Kannika,8-May-14,Orthophosphate-phosphorus
2623934,11.73,Kannika,8-May-14,Magnesium
2623936,28.85,Kannika,8-May-14,Sulphates
2623950,0,Kannika,8-May-14,"p,p-DDT"
2623951,0,Kannika,8-May-14,gamma-Hexachlorocyclohexane
2623953,33.93,Kannika,8-May-14,Macrozoobenthos
2624417,8.14,Sakda,8-May-14,Dissolved oxygen
2624419,184.6,Sakda,8-May-14,Total hardness
2624423,270.4,Sakda,8-May-14,Total dissolved salts
2624425,0.01672,Sakda,8-May-14,Nitrites
2624426,0.8588,Sakda,8-May-14,Nitrates
2624428,0,Sakda,8-May-14,Orthophosphate-phosphorus
2624431,10.75,Sakda,8-May-14,Magnesium
2624433,38.11,Sakda,8-May-14,Sulphates
2624447,0,Sakda,8-May-14,"p,p-DDT"
2624448,0,Sakda,8-May-14,gamma-Hexachlorocyclohexane
2624450,35.41,Sakda,8-May-14,Macrozoobenthos
2624914,8.85,Sakda,8-May-14,Dissolved oxygen
2624916,172.5,Sakda,8-May-14,Total hardness
2624920,267.8,Sakda,8-May-14,Total dissolved salts
2624922,0.0119,Sakda,8-May-14,Nitrites
2624923,0.82942,Sakda,8-May-14,Nitrates
2624925,0,Sakda,8-May-14,Orthophosphate-phosphorus
2624928,8.79,Sakda,8-May-14,Magnesium
2624930,39,Sakda,8-May-14,Sulphates
2624944,0,Sakda,8-May-14,"p,p-DDT"
2624945,0,Sakda,8-May-14,gamma-Hexachlorocyclohexane
2624947,47.21,Sakda,8-May-14,Macrozoobenthos
2625411,10.02,Sakda,8-May-14,Dissolved oxygen
2625413,176.6,Sakda,8-May-14,Total hardness
2625417,259,Sakda,8-May-14,Total dissolved salts
2625419,0.014,Sakda,8-May-14,Nitrites
2625420,0.80908,Sakda,8-May-14,Nitrates
2625422,0,Sakda,8-May-14,Orthophosphate-phosphorus
2625425,10.75,Sakda,8-May-14,Magnesium
2625427,32.59,Sakda,8-May-14,Sulphates
2625441,0,Sakda,8-May-14,"p,p-DDT"
2625442,0,Sakda,8-May-14,gamma-Hexachlorocyclohexane
2625444,28.03,Sakda,8-May-14,Macrozoobenthos
910655,0.325,Kannika,9-May-14,Methylosmoline
911558,0.263,Kannika,9-May-14,Methylosmoline
912475,0.315,Kannika,9-May-14,Methylosmoline
913427,0.276,Sakda,9-May-14,Methylosmoline
914382,0.276,Sakda,9-May-14,Methylosmoline
915347,0.257,Sakda,9-May-14,Methylosmoline
2564918,8.28,Somchair,14-May-14,Dissolved oxygen
2564921,447,Somchair,14-May-14,Total dissolved salts
2564923,0.0109,Somchair,14-May-14,Nitrites
2564924,1.66788,Somchair,14-May-14,Nitrates
2564926,0.021,Somchair,14-May-14,Orthophosphate-phosphorus
2564931,0,Somchair,14-May-14,"p,p-DDT"
2564932,0,Somchair,14-May-14,gamma-Hexachlorocyclohexane
2565909,7.33,Busarakhan,14-May-14,Dissolved oxygen
2565912,433,Busarakhan,14-May-14,Total dissolved salts
2565914,0.028,Busarakhan,14-May-14,Nitrites
2565915,1.61816,Busarakhan,14-May-14,Nitrates
2565917,0.0372,Busarakhan,14-May-14,Orthophosphate-phosphorus
2565919,2.34,Busarakhan,14-May-14,Dissolved silicates
2565923,0,Busarakhan,14-May-14,"p,p-DDT"
2565924,0,Busarakhan,14-May-14,gamma-Hexachlorocyclohexane
2566738,12.8,Decha,15-May-14,Dissolved oxygen
2566742,0.02,Decha,15-May-14,Nitrites
2566743,0.474,Decha,15-May-14,Nitrates
2566745,0.015,Decha,15-May-14,Orthophosphate-phosphorus
2566747,2.606,Decha,15-May-14,Dissolved silicates
2566748,28.08,Decha,15-May-14,Sodium
2566749,3.28,Decha,15-May-14,Potassium
2566754,0.2,Decha,15-May-14,Petroleum hydrocarbons
2561473,7.28,Boonsri,16-May-14,Dissolved oxygen
2561474,77.76,Boonsri,16-May-14,Oxygen saturation
2561476,181.68,Boonsri,16-May-14,Total hardness
2561480,160,Boonsri,16-May-14,Total dissolved salts
2561482,0.036,Boonsri,16-May-14,Nitrites
2561483,0.768,Boonsri,16-May-14,Nitrates
2561485,0.127,Boonsri,16-May-14,Orthophosphate-phosphorus
2561487,6.2,Boonsri,16-May-14,Dissolved silicates
2561488,19,Boonsri,16-May-14,Sodium
2561489,2,Boonsri,16-May-14,Potassium
2561491,11.64,Boonsri,16-May-14,Magnesium
2561493,25.82,Boonsri,16-May-14,Sulphates
2562739,7.37,Boonsri,16-May-14,Dissolved oxygen
2562740,77.91,Boonsri,16-May-14,Oxygen saturation
2562742,176.77,Boonsri,16-May-14,Total hardness
2562746,203,Boonsri,16-May-14,Total dissolved salts
2562748,0.019,Boonsri,16-May-14,Nitrites
2562749,0.55,Boonsri,16-May-14,Nitrates
2562750,0.13,Boonsri,16-May-14,Orthophosphate-phosphorus
2562752,3.1,Boonsri,16-May-14,Dissolved silicates
2562753,18,Boonsri,16-May-14,Sodium
2562754,2,Boonsri,16-May-14,Potassium
2562756,9.7,Boonsri,16-May-14,Magnesium
2562758,33.18,Boonsri,16-May-14,Sulphates
2563835,8.03,Boonsri,16-May-14,Dissolved oxygen
2563836,84.91,Boonsri,16-May-14,Oxygen saturation
2563838,173.56,Boonsri,16-May-14,Total hardness
2563842,210,Boonsri,16-May-14,Total dissolved salts
2563844,0.017,Boonsri,16-May-14,Nitrites
2563845,0.54,Boonsri,16-May-14,Nitrates
2563846,0.1,Boonsri,16-May-14,Orthophosphate-phosphorus
2563848,3,Boonsri,16-May-14,Dissolved silicates
2563850,10.67,Boonsri,16-May-14,Magnesium
2563852,29.75,Boonsri,16-May-14,Sulphates
2567287,8.7,Achara,16-May-14,Dissolved oxygen
2567288,77,Achara,16-May-14,Oxygen saturation
2567293,0.015,Achara,16-May-14,Nitrites
2567294,0.69,Achara,16-May-14,Nitrates
2567296,0.009,Achara,16-May-14,Orthophosphate-phosphorus
2567298,1.6,Achara,16-May-14,Dissolved silicates
2567300,2.2,Achara,16-May-14,Magnesium
2567307,0.022,Achara,16-May-14,Mercury
2567314,0,Achara,16-May-14,"p,p-DDT"
2567315,0,Achara,16-May-14,gamma-Hexachlorocyclohexane
2575992,0.055,Tansanee,16-May-14,Nitrites
2575993,2.34,Tansanee,16-May-14,Nitrates
2575995,0.086,Tansanee,16-May-14,Orthophosphate-phosphorus
2576001,2.78,Tansanee,16-May-14,Dissolved organic carbon
2578125,7.92,Chai,16-May-14,Dissolved oxygen
2578128,255,Chai,16-May-14,Total dissolved salts
2578130,0.0131,Chai,16-May-14,Nitrites
2578131,1.3185,Chai,16-May-14,Nitrates
2578133,0.0326,Chai,16-May-14,Orthophosphate-phosphorus
2578135,1.53,Chai,16-May-14,Dissolved silicates
2578137,28,Chai,16-May-14,Magnesium
2579121,8.52,Chai,16-May-14,Dissolved oxygen
2579124,244,Chai,16-May-14,Total dissolved salts
2579126,0.014,Chai,16-May-14,Nitrites
2579127,1.3885,Chai,16-May-14,Nitrates
2579129,0.03586,Chai,16-May-14,Orthophosphate-phosphorus
2579131,1.76,Chai,16-May-14,Dissolved silicates
2579133,23.1,Chai,16-May-14,Magnesium
2580115,8.49,Chai,16-May-14,Dissolved oxygen
2580118,244,Chai,16-May-14,Total dissolved salts
2580120,0.0149,Chai,16-May-14,Nitrites
2580121,1.43849,Chai,16-May-14,Nitrates
2580123,0.03912,Chai,16-May-14,Orthophosphate-phosphorus
2580125,1.82,Chai,16-May-14,Dissolved silicates
2580127,26.8,Chai,16-May-14,Magnesium
889415,0.332,Boonsri,16-May-14,Methylosmoline
890960,0.252,Boonsri,16-May-14,Methylosmoline
892394,0.329,Boonsri,16-May-14,Methylosmoline
2561512,10.03,Boonsri,22-May-14,Dissolved oxygen
2561513,109.2,Boonsri,22-May-14,Oxygen saturation
2561515,181.58,Boonsri,22-May-14,Total hardness
2561519,195,Boonsri,22-May-14,Total dissolved salts
2561521,0.021,Boonsri,22-May-14,Nitrites
2561522,0.603,Boonsri,22-May-14,Nitrates
2561523,0.061,Boonsri,22-May-14,Orthophosphate-phosphorus
2561525,4.3,Boonsri,22-May-14,Dissolved silicates
2561526,19,Boonsri,22-May-14,Sodium
2561527,2,Boonsri,22-May-14,Potassium
2561529,13.58,Boonsri,22-May-14,Magnesium
2561531,30.8,Boonsri,22-May-14,Sulphates
2561532,33.8,Boonsri,22-May-14,Zinc
2561534,2.102,Boonsri,22-May-14,Copper
2561538,3.45,Boonsri,22-May-14,Lead
2561542,0.042,Boonsri,22-May-14,Mercury
2561544,2.14,Boonsri,22-May-14,Nickel
2561555,0,Boonsri,22-May-14,"p,p-DDT"
2561556,0,Boonsri,22-May-14,gamma-Hexachlorocyclohexane
2566759,0.025,Decha,23-May-14,Nitrites
2566760,0.495,Decha,23-May-14,Nitrates
2566762,0.033,Decha,23-May-14,Orthophosphate-phosphorus
2578163,9.01,Chai,23-May-14,Dissolved oxygen
2578165,0.02888,Chai,23-May-14,Nitrites
2578166,1.5483,Chai,23-May-14,Nitrates
2578168,0.03586,Chai,23-May-14,Orthophosphate-phosphorus
2578170,2,Chai,23-May-14,Dissolved silicates
2578174,0,Chai,23-May-14,"p,p-DDT"
2578175,0,Chai,23-May-14,gamma-Hexachlorocyclohexane
2579158,9.08,Chai,23-May-14,Dissolved oxygen
2579160,0.0179,Chai,23-May-14,Nitrites
2579161,1.5483,Chai,23-May-14,Nitrates
2579163,0.05216,Chai,23-May-14,Orthophosphate-phosphorus
2579165,2.05,Chai,23-May-14,Dissolved silicates
2579169,0,Chai,23-May-14,"p,p-DDT"
2579170,0,Chai,23-May-14,gamma-Hexachlorocyclohexane
2580153,8.96,Chai,23-May-14,Dissolved oxygen
2580155,0.0249,Chai,23-May-14,Nitrites
2580156,1.5384,Chai,23-May-14,Nitrates
2580158,0.04564,Chai,23-May-14,Orthophosphate-phosphorus
2580160,2,Chai,23-May-14,Dissolved silicates
2580164,0,Chai,23-May-14,"p,p-DDT"
2580165,0,Chai,23-May-14,gamma-Hexachlorocyclohexane
901300,0.345,Kohsoom,26-May-14,Methylosmoline
2564951,11.09,Somchair,28-May-14,Dissolved oxygen
2564953,0.06688,Somchair,28-May-14,Nitrites
2564954,2.2975,Somchair,28-May-14,Nitrates
2564956,0.20212,Somchair,28-May-14,Orthophosphate-phosphorus
2565943,9.68,Busarakhan,28-May-14,Dissolved oxygen
2565945,0.0581,Busarakhan,28-May-14,Nitrites
2565946,2.0078,Busarakhan,28-May-14,Nitrates
2565948,0.09617,Busarakhan,28-May-14,Orthophosphate-phosphorus
2565950,2.27,Busarakhan,28-May-14,Dissolved silicates
2627489,7.01,Kohsoom,28-May-14,Dissolved oxygen
2627490,77.03,Kohsoom,28-May-14,Oxygen saturation
2627492,236.799,Kohsoom,28-May-14,Total hardness
2627496,330,Kohsoom,28-May-14,Total dissolved salts
2627498,0.082,Kohsoom,28-May-14,Nitrites
2627499,0.788,Kohsoom,28-May-14,Nitrates
2627501,0.199,Kohsoom,28-May-14,Orthophosphate-phosphorus
2627503,25.6,Kohsoom,28-May-14,Sodium
2627504,2.8,Kohsoom,28-May-14,Potassium
2627506,13.51,Kohsoom,28-May-14,Magnesium
2627508,61.133,Kohsoom,28-May-14,Sulphates
2627509,3.4,Kohsoom,28-May-14,Zinc
2627511,6,Kohsoom,28-May-14,Copper
2627515,0.85,Kohsoom,28-May-14,Lead
2627519,10,Kohsoom,28-May-14,Nickel
2627530,0,Kohsoom,28-May-14,"p,p-DDT"
2627531,0,Kohsoom,28-May-14,gamma-Hexachlorocyclohexane
905729,0.314,Somchair,30-May-14,Methylosmoline
906319,0.314,Busarakhan,30-May-14,Methylosmoline
902478,0.31,Chai,31-May-14,Methylosmoline
903603,0.274,Chai,31-May-14,Methylosmoline
