id,value,location,sample date,measure
2562650,2.27,Boonsri,11-Apr-14,Chemical Oxygen Demand (Mn)
2562651,3.933,Boonsri,11-Apr-14,Total organic carbon
2562652,0.123,Boonsri,11-Apr-14,Anionic active surfactants
2563718,12,Boonsri,11-Apr-14,Water temperature
2563721,11.23,Boonsri,11-Apr-14,Dissolved oxygen
2563722,107.67,Boonsri,11-Apr-14,Oxygen saturation
2563724,161.44,Boonsri,11-Apr-14,Total hardness
2563725,150.67,Boonsri,11-Apr-14,Bicarbonates
2563728,188,Boonsri,11-Apr-14,Total dissolved salts
2563729,0,Boonsri,11-Apr-14,Ammonium
2563730,0.014,Boonsri,11-Apr-14,Nitrites
2563731,0.85,Boonsri,11-Apr-14,Nitrates
2563732,1.17,Boonsri,11-Apr-14,Total nitrogen
2563733,0.014,Boonsri,11-Apr-14,Orthophosphate-phosphorus
2563734,0.062,Boonsri,11-Apr-14,Total phosphorus
2563735,5.6,Boonsri,11-Apr-14,Dissolved silicates
2563736,20,Boonsri,11-Apr-14,Sodium
2563737,2,Boonsri,11-Apr-14,Potassium
2563738,46.95,Boonsri,11-Apr-14,Calcium
2563739,10.67,Boonsri,11-Apr-14,Magnesium
2563740,12.22,Boonsri,11-Apr-14,Chlorides
2563741,28.06,Boonsri,11-Apr-14,Sulphates
2563743,2.45,Boonsri,11-Apr-14,Biochemical Oxygen
2563744,11.16,Boonsri,11-Apr-14,Chemical Oxygen Demand (Cr)
2563745,3.57,Boonsri,11-Apr-14,Chemical Oxygen Demand (Mn)
2563746,4.181,Boonsri,11-Apr-14,Total organic carbon
2563747,0.127,Boonsri,11-Apr-14,Anionic active surfactants
913369,0.311,Sakda,11-Apr-14,AGOC-3A
913371,0.283,Sakda,11-Apr-14,Methylosmoline
913372,0.265,Sakda,11-Apr-14,Chlorodinine
914324,0.298,Sakda,11-Apr-14,AGOC-3A
914326,0.334,Sakda,11-Apr-14,Methylosmoline
914327,0.211,Sakda,11-Apr-14,Chlorodinine
915289,0.35,Sakda,11-Apr-14,AGOC-3A
915291,0.26,Sakda,11-Apr-14,Methylosmoline
915292,0.298,Sakda,11-Apr-14,Chlorodinine
910597,0.334,Kannika,14-Apr-14,AGOC-3A
910599,0.276,Kannika,14-Apr-14,Methylosmoline
910600,0.253,Kannika,14-Apr-14,Chlorodinine
911500,0.265,Kannika,14-Apr-14,AGOC-3A
911502,0.342,Kannika,14-Apr-14,Methylosmoline
911503,0.204,Kannika,14-Apr-14,Chlorodinine
912417,0.296,Kannika,14-Apr-14,AGOC-3A
912419,0.318,Kannika,14-Apr-14,Methylosmoline
912420,0.225,Kannika,14-Apr-14,Chlorodinine
2564838,11.7,Somchair,18-Apr-14,Water temperature
2564841,8.43,Somchair,18-Apr-14,Dissolved oxygen
2564844,538,Somchair,18-Apr-14,Total dissolved salts
2564845,0.08112,Somchair,18-Apr-14,Ammonium
2564846,0.028,Somchair,18-Apr-14,Nitrites
2564847,2.24757,Somchair,18-Apr-14,Nitrates
2564848,2.47,Somchair,18-Apr-14,Total nitrogen
2564849,0.03,Somchair,18-Apr-14,Orthophosphate-phosphorus
2564850,0.038,Somchair,18-Apr-14,Total phosphorus
2564852,1.82,Somchair,18-Apr-14,Biochemical Oxygen
2564853,0,Somchair,18-Apr-14,Atrazine
2564854,0,Somchair,18-Apr-14,"p,p-DDT"
2564855,0,Somchair,18-Apr-14,gamma-Hexachlorocyclohexane
2565826,13.9,Busarakhan,18-Apr-14,Water temperature
2565829,8.21,Busarakhan,18-Apr-14,Dissolved oxygen
2565832,517,Busarakhan,18-Apr-14,Total dissolved salts
2565833,0.09594,Busarakhan,18-Apr-14,Ammonium
2565834,0.0201,Busarakhan,18-Apr-14,Nitrites
2565835,1.6582,Busarakhan,18-Apr-14,Nitrates
2565836,2.13,Busarakhan,18-Apr-14,Total nitrogen
2565837,0.07335,Busarakhan,18-Apr-14,Orthophosphate-phosphorus
2565838,0.094,Busarakhan,18-Apr-14,Total phosphorus
2565839,1.42,Busarakhan,18-Apr-14,Dissolved silicates
2565841,1.56,Busarakhan,18-Apr-14,Biochemical Oxygen
2565842,0,Busarakhan,18-Apr-14,Atrazine
2565843,0,Busarakhan,18-Apr-14,"p,p-DDT"
2565844,0,Busarakhan,18-Apr-14,gamma-Hexachlorocyclohexane
2567243,11,Achara,18-Apr-14,Water temperature
2567245,9,Achara,18-Apr-14,Dissolved oxygen
2567246,82,Achara,18-Apr-14,Oxygen saturation
2567248,144.4,Achara,18-Apr-14,Total hardness
2567249,134.2,Achara,18-Apr-14,Bicarbonates
2567252,190,Achara,18-Apr-14,Total dissolved salts
2567253,0.215,Achara,18-Apr-14,Ammonium
2567254,0.031,Achara,18-Apr-14,Nitrites
2567255,1.09,Achara,18-Apr-14,Nitrates
2567256,1.79,Achara,18-Apr-14,Total nitrogen
2567257,0.024,Achara,18-Apr-14,Orthophosphate-phosphorus
2567258,0.075,Achara,18-Apr-14,Total phosphorus
2567259,1.9,Achara,18-Apr-14,Dissolved silicates
2567260,9.2,Achara,18-Apr-14,Sodium
2567261,2.6,Achara,18-Apr-14,Potassium
2567262,43.3,Achara,18-Apr-14,Calcium
2567263,8.8,Achara,18-Apr-14,Magnesium
2567264,11.4,Achara,18-Apr-14,Chlorides
2567265,30.9,Achara,18-Apr-14,Sulphates
2567267,0.07,Achara,18-Apr-14,Manganese
2567273,0.03,Achara,18-Apr-14,Mercury
2567276,1.3,Achara,18-Apr-14,Biochemical Oxygen
2567277,5,Achara,18-Apr-14,Chemical Oxygen Demand (Cr)
2567278,2.2,Achara,18-Apr-14,Chemical Oxygen Demand (Mn)
2567279,0.213,Achara,18-Apr-14,Atrazine
2567280,0,Achara,18-Apr-14,"p,p-DDT"
2567281,0,Achara,18-Apr-14,gamma-Hexachlorocyclohexane
2566688,13,Decha,19-Apr-14,Water temperature
2566691,9.8,Decha,19-Apr-14,Dissolved oxygen
2566693,195,Decha,19-Apr-14,Total hardness
2566694,124.5,Decha,19-Apr-14,Bicarbonates
2566697,234,Decha,19-Apr-14,Total dissolved salts
2566698,0.74,Decha,19-Apr-14,Ammonium
2566699,0.018,Decha,19-Apr-14,Nitrites
2566700,0.719,Decha,19-Apr-14,Nitrates
2566701,4,Decha,19-Apr-14,Total nitrogen
2566702,0.015,Decha,19-Apr-14,Orthophosphate-phosphorus
2566703,0.267,Decha,19-Apr-14,Total phosphorus
2566704,3.104,Decha,19-Apr-14,Dissolved silicates
2566705,20.92,Decha,19-Apr-14,Sodium
2566706,2.814,Decha,19-Apr-14,Potassium
2566707,43.34,Decha,19-Apr-14,Calcium
2566708,21.02,Decha,19-Apr-14,Magnesium
2566709,20.15,Decha,19-Apr-14,Chlorides
2566710,31.9,Decha,19-Apr-14,Sulphates
2566712,0,Decha,19-Apr-14,Manganese
2566720,2.41,Decha,19-Apr-14,Biochemical Oxygen
2566721,12.5,Decha,19-Apr-14,Chemical Oxygen Demand (Cr)
2566722,8.8,Decha,19-Apr-14,Chemical Oxygen Demand (Mn)
2566723,0.2,Decha,19-Apr-14,Petroleum hydrocarbons
2566724,0,Decha,19-Apr-14,Atrazine
2566725,0,Decha,19-Apr-14,"p,p-DDT"
2566726,0,Decha,19-Apr-14,gamma-Hexachlorocyclohexane
2561399,14,Boonsri,23-Apr-14,Water temperature
2561402,9.71,Boonsri,23-Apr-14,Dissolved oxygen
2561403,97.34,Boonsri,23-Apr-14,Oxygen saturation
2561405,173.56,Boonsri,23-Apr-14,Total hardness
2561406,160.43,Boonsri,23-Apr-14,Bicarbonates
2561409,171,Boonsri,23-Apr-14,Total dissolved salts
2561410,0.045,Boonsri,23-Apr-14,Ammonium
2561411,0.01,Boonsri,23-Apr-14,Nitrites
2561412,0.652,Boonsri,23-Apr-14,Nitrates
2561413,0.014,Boonsri,23-Apr-14,Orthophosphate-phosphorus
2561414,0.066,Boonsri,23-Apr-14,Total phosphorus
2561415,4.3,Boonsri,23-Apr-14,Dissolved silicates
2561416,14,Boonsri,23-Apr-14,Sodium
2561417,1,Boonsri,23-Apr-14,Potassium
2561418,36.67,Boonsri,23-Apr-14,Calcium
2561419,7.76,Boonsri,23-Apr-14,Magnesium
2561420,12.92,Boonsri,23-Apr-14,Chlorides
2561421,28.32,Boonsri,23-Apr-14,Sulphates
2561422,35.3,Boonsri,23-Apr-14,Zinc
2561424,3.579,Boonsri,23-Apr-14,Copper
2561426,1.235,Boonsri,23-Apr-14,Chromium
2561428,1.466,Boonsri,23-Apr-14,Lead
2561430,0.184,Boonsri,23-Apr-14,Cadmium
2561432,0.101,Boonsri,23-Apr-14,Mercury
2561434,2,Boonsri,23-Apr-14,Nickel
2561436,0,Boonsri,23-Apr-14,Arsenic
2561438,2.6,Boonsri,23-Apr-14,Biochemical Oxygen
2561439,9.92,Boonsri,23-Apr-14,Chemical Oxygen Demand (Cr)
2561440,3.16,Boonsri,23-Apr-14,Chemical Oxygen Demand (Mn)
2561441,4.204,Boonsri,23-Apr-14,Total organic carbon
2561442,0.121,Boonsri,23-Apr-14,Anionic active surfactants
2561444,0,Boonsri,23-Apr-14,Atrazine
2561445,0,Boonsri,23-Apr-14,"p,p-DDT"
2561446,0,Boonsri,23-Apr-14,gamma-Hexachlorocyclohexane
2562666,14,Boonsri,23-Apr-14,Water temperature
2562669,9.81,Boonsri,23-Apr-14,Dissolved oxygen
2562670,98.32,Boonsri,23-Apr-14,Oxygen saturation
2562672,165.54,Boonsri,23-Apr-14,Total hardness
2562673,155.55,Boonsri,23-Apr-14,Bicarbonates
2562676,198,Boonsri,23-Apr-14,Total dissolved salts
2562677,0.031,Boonsri,23-Apr-14,Ammonium
2562678,0.011,Boonsri,23-Apr-14,Nitrites
2562679,0.647,Boonsri,23-Apr-14,Nitrates
2562680,0.01,Boonsri,23-Apr-14,Orthophosphate-phosphorus
2562681,0.051,Boonsri,23-Apr-14,Total phosphorus
2562682,4.1,Boonsri,23-Apr-14,Dissolved silicates
2562683,14,Boonsri,23-Apr-14,Sodium
2562684,1,Boonsri,23-Apr-14,Potassium
2562685,46.95,Boonsri,23-Apr-14,Calcium
2562686,11.64,Boonsri,23-Apr-14,Magnesium
2562687,12.22,Boonsri,23-Apr-14,Chlorides
2562688,31.92,Boonsri,23-Apr-14,Sulphates
2562689,48,Boonsri,23-Apr-14,Zinc
2562691,4.19,Boonsri,23-Apr-14,Copper
2562693,1.605,Boonsri,23-Apr-14,Chromium
2562695,1.412,Boonsri,23-Apr-14,Lead
2562697,0,Boonsri,23-Apr-14,Cadmium
2562699,0.06,Boonsri,23-Apr-14,Mercury
2562701,2,Boonsri,23-Apr-14,Nickel
2562703,1.105,Boonsri,23-Apr-14,Arsenic
2562705,2.13,Boonsri,23-Apr-14,Biochemical Oxygen
2562706,10.54,Boonsri,23-Apr-14,Chemical Oxygen Demand (Cr)
2562707,2.25,Boonsri,23-Apr-14,Chemical Oxygen Demand (Mn)
2562708,0.114,Boonsri,23-Apr-14,Anionic active surfactants
2562710,0,Boonsri,23-Apr-14,Atrazine
2562711,0,Boonsri,23-Apr-14,"p,p-DDT"
2562712,0,Boonsri,23-Apr-14,gamma-Hexachlorocyclohexane
2563761,14,Boonsri,23-Apr-14,Water temperature
2563764,9.45,Boonsri,23-Apr-14,Dissolved oxygen
2563765,94.74,Boonsri,23-Apr-14,Oxygen saturation
2563767,161.44,Boonsri,23-Apr-14,Total hardness
2563768,159.21,Boonsri,23-Apr-14,Bicarbonates
2563771,207,Boonsri,23-Apr-14,Total dissolved salts
2563772,0.048,Boonsri,23-Apr-14,Ammonium
2563773,0.008,Boonsri,23-Apr-14,Nitrites
2563774,0.666,Boonsri,23-Apr-14,Nitrates
2563775,0.01,Boonsri,23-Apr-14,Orthophosphate-phosphorus
2563776,0.061,Boonsri,23-Apr-14,Total phosphorus
2563777,4.1,Boonsri,23-Apr-14,Dissolved silicates
2563778,16,Boonsri,23-Apr-14,Sodium
2563779,1,Boonsri,23-Apr-14,Potassium
2563780,48.57,Boonsri,23-Apr-14,Calcium
2563781,10.67,Boonsri,23-Apr-14,Magnesium
2563782,13.27,Boonsri,23-Apr-14,Chlorides
2563783,29.13,Boonsri,23-Apr-14,Sulphates
2563784,45.1,Boonsri,23-Apr-14,Zinc
2563786,4.255,Boonsri,23-Apr-14,Copper
2563788,1.109,Boonsri,23-Apr-14,Chromium
2563790,1.305,Boonsri,23-Apr-14,Lead
2563792,0,Boonsri,23-Apr-14,Cadmium
2563794,0.219,Boonsri,23-Apr-14,Mercury
2563796,2.003,Boonsri,23-Apr-14,Nickel
2563798,0,Boonsri,23-Apr-14,Arsenic
2563800,2.59,Boonsri,23-Apr-14,Biochemical Oxygen
2563801,11.16,Boonsri,23-Apr-14,Chemical Oxygen Demand (Cr)
2563802,3.22,Boonsri,23-Apr-14,Chemical Oxygen Demand (Mn)
2563803,4.062,Boonsri,23-Apr-14,Total organic carbon
2563804,0.12,Boonsri,23-Apr-14,Anionic active surfactants
2563806,0,Boonsri,23-Apr-14,Atrazine
2563807,0,Boonsri,23-Apr-14,"p,p-DDT"
2563808,0,Boonsri,23-Apr-14,gamma-Hexachlorocyclohexane
2627440,18,Kohsoom,23-Apr-14,Water temperature
2627443,8.22,Kohsoom,23-Apr-14,Dissolved oxygen
2627444,89.6,Kohsoom,23-Apr-14,Oxygen saturation
2627446,326.9,Kohsoom,23-Apr-14,Total hardness
2627447,275.96,Kohsoom,23-Apr-14,Bicarbonates
2627450,396,Kohsoom,23-Apr-14,Total dissolved salts
2627451,2.418,Kohsoom,23-Apr-14,Ammonium
2627452,0.064,Kohsoom,23-Apr-14,Nitrites
2627453,0.554,Kohsoom,23-Apr-14,Nitrates
2627454,3.643,Kohsoom,23-Apr-14,Total nitrogen
2627455,0.171,Kohsoom,23-Apr-14,Orthophosphate-phosphorus
2627456,0.237,Kohsoom,23-Apr-14,Total phosphorus
2627457,28.9,Kohsoom,23-Apr-14,Sodium
2627458,3.5,Kohsoom,23-Apr-14,Potassium
2627459,85.5,Kohsoom,23-Apr-14,Calcium
2627460,17.1,Kohsoom,23-Apr-14,Magnesium
2627461,45.606,Kohsoom,23-Apr-14,Chlorides
2627462,60.961,Kohsoom,23-Apr-14,Sulphates
2627463,6.2,Kohsoom,23-Apr-14,Zinc
2627465,2.2,Kohsoom,23-Apr-14,Copper
2627467,0,Kohsoom,23-Apr-14,Chromium
2627469,0.52,Kohsoom,23-Apr-14,Lead
2627471,0,Kohsoom,23-Apr-14,Cadmium
2627473,4.6,Kohsoom,23-Apr-14,Nickel
2627475,1.4,Kohsoom,23-Apr-14,Arsenic
2627477,3.88,Kohsoom,23-Apr-14,Biochemical Oxygen
2627478,25.1,Kohsoom,23-Apr-14,Chemical Oxygen Demand (Cr)
2627479,5.18,Kohsoom,23-Apr-14,Chemical Oxygen Demand (Mn)
2627480,5.415,Kohsoom,23-Apr-14,Total organic carbon
2627481,0.161,Kohsoom,23-Apr-14,Anionic active surfactants
2627483,0,Kohsoom,23-Apr-14,Atrazine
2627484,0,Kohsoom,23-Apr-14,"p,p-DDT"
2627485,0,Kohsoom,23-Apr-14,gamma-Hexachlorocyclohexane
2566729,0.317,Decha,25-Apr-14,Ammonium
2566730,0.032,Decha,25-Apr-14,Nitrites
2566731,0.719,Decha,25-Apr-14,Nitrates
2566732,4,Decha,25-Apr-14,Total nitrogen
2566733,0.042,Decha,25-Apr-14,Orthophosphate-phosphorus
2566734,0.285,Decha,25-Apr-14,Total phosphorus
2578086,15.1,Chai,26-Apr-14,Water temperature
2578089,9.11,Chai,26-Apr-14,Dissolved oxygen
2578092,313,Chai,26-Apr-14,Total dissolved salts
2578093,0,Chai,26-Apr-14,Ammonium
2578094,0.0149,Chai,26-Apr-14,Nitrites
2578095,1.61816,Chai,26-Apr-14,Nitrates
2578096,1.65,Chai,26-Apr-14,Total nitrogen
2578097,0.02934,Chai,26-Apr-14,Orthophosphate-phosphorus
2578098,0.05,Chai,26-Apr-14,Total phosphorus
2578099,2.38,Chai,26-Apr-14,Dissolved silicates
2578101,1.93,Chai,26-Apr-14,Biochemical Oxygen
2579082,15,Chai,26-Apr-14,Water temperature
2579085,9.12,Chai,26-Apr-14,Dissolved oxygen
2579088,272,Chai,26-Apr-14,Total dissolved salts
2579089,0,Chai,26-Apr-14,Ammonium
2579090,0.0149,Chai,26-Apr-14,Nitrites
2579091,1.5983,Chai,26-Apr-14,Nitrates
2579092,1.64,Chai,26-Apr-14,Total nitrogen
2579093,0.04238,Chai,26-Apr-14,Orthophosphate-phosphorus
2579094,0.06,Chai,26-Apr-14,Total phosphorus
2579095,2.39,Chai,26-Apr-14,Dissolved silicates
2579097,1.92,Chai,26-Apr-14,Biochemical Oxygen
2580076,15,Chai,26-Apr-14,Water temperature
2580079,9.02,Chai,26-Apr-14,Dissolved oxygen
2580082,266,Chai,26-Apr-14,Total dissolved salts
2580083,0,Chai,26-Apr-14,Ammonium
2580084,0.0161,Chai,26-Apr-14,Nitrites
2580085,1.61816,Chai,26-Apr-14,Nitrates
2580086,1.68,Chai,26-Apr-14,Total nitrogen
2580087,0.05216,Chai,26-Apr-14,Orthophosphate-phosphorus
2580088,0.07,Chai,26-Apr-14,Total phosphorus
2580089,2.37,Chai,26-Apr-14,Dissolved silicates
2580091,2.23,Chai,26-Apr-14,Biochemical Oxygen
902400,0.328,Chai,28-Apr-14,AGOC-3A
902402,0.27,Chai,28-Apr-14,Methylosmoline
902403,0.241,Chai,28-Apr-14,Chlorodinine
903525,0.294,Chai,28-Apr-14,AGOC-3A
903527,0.326,Chai,28-Apr-14,Methylosmoline
903528,0.273,Chai,28-Apr-14,Chlorodinine
904659,0.263,Chai,28-Apr-14,AGOC-3A
904661,0.277,Chai,28-Apr-14,Methylosmoline
904662,0.274,Chai,28-Apr-14,Chlorodinine
2564870,18.75,Somchair,2-May-14,Water temperature
2564873,8.13,Somchair,2-May-14,Dissolved oxygen
2564876,389,Somchair,2-May-14,Total dissolved salts
2564877,0.39156,Somchair,2-May-14,Ammonium
2564878,0.024,Somchair,2-May-14,Nitrites
2564879,2.0478,Somchair,2-May-14,Nitrates
2564880,2.61,Somchair,2-May-14,Total nitrogen
2564881,0.03,Somchair,2-May-14,Orthophosphate-phosphorus
2564882,0.059,Somchair,2-May-14,Total phosphorus
2564883,22.8,Somchair,2-May-14,Sodium
2564884,2.4,Somchair,2-May-14,Potassium
2564885,77.07,Somchair,2-May-14,Calcium
2564886,25.77,Somchair,2-May-14,Magnesium
2564887,54.33,Somchair,2-May-14,Chlorides
2564888,62.7,Somchair,2-May-14,Sulphates
2564898,1.68,Somchair,2-May-14,Biochemical Oxygen
2564899,29.37,Somchair,2-May-14,Chemical Oxygen Demand (Cr)
2564900,4.95,Somchair,2-May-14,Chemical Oxygen Demand (Mn)
2564901,0,Somchair,2-May-14,Anionic active surfactants
2565859,22.11,Busarakhan,2-May-14,Water temperature
2565862,7.91,Busarakhan,2-May-14,Dissolved oxygen
2565863,280,Busarakhan,2-May-14,Total hardness
2565866,496,Busarakhan,2-May-14,Total dissolved salts
2565867,0.34242,Busarakhan,2-May-14,Ammonium
2565868,0.0231,Busarakhan,2-May-14,Nitrites
2565869,1.73568,Busarakhan,2-May-14,Nitrates
2565870,2.11,Busarakhan,2-May-14,Total nitrogen
2565871,0.0274,Busarakhan,2-May-14,Orthophosphate-phosphorus
2565872,0.061,Busarakhan,2-May-14,Total phosphorus
2565873,1.45,Busarakhan,2-May-14,Dissolved silicates
2565874,26.9,Busarakhan,2-May-14,Sodium
2565875,3.8,Busarakhan,2-May-14,Potassium
2565876,72.94,Busarakhan,2-May-14,Calcium
2565877,23.34,Busarakhan,2-May-14,Magnesium
2565878,52.96,Busarakhan,2-May-14,Chlorides
2565879,136.7,Busarakhan,2-May-14,Sulphates
2565889,2.59,Busarakhan,2-May-14,Biochemical Oxygen
2565890,27.42,Busarakhan,2-May-14,Chemical Oxygen Demand (Cr)
2565891,5.53,Busarakhan,2-May-14,Chemical Oxygen Demand (Mn)
2565892,0,Busarakhan,2-May-14,Anionic active surfactants
905671,0.347,Somchair,3-May-14,AGOC-3A
905673,0.28,Somchair,3-May-14,Methylosmoline
905674,0.299,Somchair,3-May-14,Chlorodinine
906261,0.315,Busarakhan,3-May-14,AGOC-3A
