value,location,sample date,measure
5.24,Boonsri,14-Jan-05,Chemical Oxygen Demand (Mn)
5.923,Boonsri,14-Jan-05,Nickel
8.92,Boonsri,14-Jan-05,Chemical Oxygen Demand (Cr)
9.22,Boonsri,14-Jan-05,Chemical Oxygen Demand (Cr)
9.6,Boonsri,14-Jan-05,Silica (SiO2)
9.71,Boonsri,14-Jan-05,Chemical Oxygen Demand (Cr)
9.782,Boonsri,14-Jan-05,Chromium
10,Boonsri,14-Jan-05,Cadmium
10.27,Boonsri,14-Jan-05,Silica (SiO2)
10.31,Boonsri,14-Jan-05,Silica (SiO2)
10.405,Boonsri,14-Jan-05,Nickel
11.02,Boonsri,14-Jan-05,Dissolved oxygen
11.1,Boonsri,14-Jan-05,Dissolved oxygen
11.145,Boonsri,14-Jan-05,Nickel
11.33,Boonsri,14-Jan-05,Dissolved oxygen
12,Boonsri,14-Jan-05,Sodium
12,Boonsri,14-Jan-05,Sodium
12,Boonsri,14-Jan-05,Sodium
12.61,Boonsri,14-Jan-05,Magnesium
13.44,Boonsri,14-Jan-05,Copper
14.55,Boonsri,14-Jan-05,Magnesium
14.55,Boonsri,14-Jan-05,Magnesium
15.11,Boonsri,14-Jan-05,Lead
16.950001,Boonsri,14-Jan-05,Chlorides
17.83,Boonsri,14-Jan-05,Chlorides
18.52,Boonsri,14-Jan-05,Chlorides
22.950001,Boonsri,14-Jan-05,Copper
25.32,Boonsri,14-Jan-05,Lead
28.139999,Boonsri,14-Jan-05,Sulphates
30,Boonsri,14-Jan-05,Zinc
30.02,Boonsri,14-Jan-05,Sulphates
36.779999,Boonsri,14-Jan-05,Copper
44.43,Boonsri,14-Jan-05,Sulphates
49.049999,Boonsri,14-Jan-05,Calcium
50.689999,Boonsri,14-Jan-05,Calcium
52.32,Boonsri,14-Jan-05,Calcium
57,Boonsri,14-Jan-05,Zinc
79.660004,Boonsri,14-Jan-05,Oxygen saturation
79.959999,Boonsri,14-Jan-05,Oxygen saturation
81.800003,Boonsri,14-Jan-05,Oxygen saturation
98.279999,Boonsri,14-Jan-05,Total hardness
105,Boonsri,14-Jan-05,Total hardness
107.239998,Boonsri,14-Jan-05,Total hardness
113,Boonsri,14-Jan-05,Zinc
183,Boonsri,14-Jan-05,Bicarbonates
183,Boonsri,14-Jan-05,Bicarbonates
195.199997,Boonsri,14-Jan-05,Bicarbonates
213,Boonsri,14-Jan-05,Total dissolved salts
227,Boonsri,14-Jan-05,Total dissolved salts
237,Boonsri,14-Jan-05,Total dissolved salts
0,Kannika,16-Jan-05,Mercury
0,Kannika,16-Jan-05,Heptachloroepoxide
0,Kannika,16-Jan-05,Endosulfan (alpha)
0,Kannika,16-Jan-05,Endosulfan (beta)
0,Kannika,16-Jan-05,Aldrin
0,Kannika,16-Jan-05,Dieldrin
0,Kannika,16-Jan-05,Mercury
0,Kannika,16-Jan-05,Heptachloroepoxide
0,Kannika,16-Jan-05,Heptachlor
0,Kannika,16-Jan-05,Endosulfan (alpha)
0,Kannika,16-Jan-05,Endosulfan (beta)
0,Kannika,16-Jan-05,Aldrin
0,Kannika,16-Jan-05,Dieldrin
0,Kannika,16-Jan-05,Mercury
0,Kannika,16-Jan-05,Heptachloroepoxide
0,Kannika,16-Jan-05,Endosulfan (alpha)
0,Kannika,16-Jan-05,Endosulfan (beta)
0,Kannika,16-Jan-05,"p,p-DDT"
0,Kannika,16-Jan-05,"p,p-DDD"
0,Kannika,16-Jan-05,alpha-Hexachlorocyclohexane
0,Kannika,16-Jan-05,Aldrin
0,Kannika,16-Jan-05,Endrin
0,Sakda,16-Jan-05,Mercury
0,Sakda,16-Jan-05,Atrazine
0,Sakda,16-Jan-05,Heptachloroepoxide
0,Sakda,16-Jan-05,Heptachlor
0,Sakda,16-Jan-05,Endosulfan (alpha)
0,Sakda,16-Jan-05,Endosulfan (beta)
0,Sakda,16-Jan-05,alpha-Hexachlorocyclohexane
0,Sakda,16-Jan-05,Aldrin
0,Sakda,16-Jan-05,Dieldrin
0,Sakda,16-Jan-05,Endrin
0,Sakda,16-Jan-05,Mercury
0,Sakda,16-Jan-05,Atrazine
0,Sakda,16-Jan-05,Heptachloroepoxide
0,Sakda,16-Jan-05,Heptachlor
0,Sakda,16-Jan-05,Endosulfan (alpha)
0,Sakda,16-Jan-05,Endosulfan (beta)
0,Sakda,16-Jan-05,"p,p-DDD"
0,Sakda,16-Jan-05,alpha-Hexachlorocyclohexane
0,Sakda,16-Jan-05,Aldrin
0,Sakda,16-Jan-05,Endrin
0,Sakda,16-Jan-05,Mercury
0,Sakda,16-Jan-05,Atrazine
0,Sakda,16-Jan-05,Heptachloroepoxide
0,Sakda,16-Jan-05,Heptachlor
0,Sakda,16-Jan-05,Endosulfan (alpha)
0,Sakda,16-Jan-05,Endosulfan (beta)
0,Sakda,16-Jan-05,alpha-Hexachlorocyclohexane
0,Sakda,16-Jan-05,beta-Hexaxchlorocyclohexane
0,Sakda,16-Jan-05,Aldrin
0,Sakda,16-Jan-05,Dieldrin
0.007,Sakda,16-Jan-05,Orthophosphate-phosphorus
0.009,Kannika,16-Jan-05,Heptachlor
0.01,Sakda,16-Jan-05,Petroleum hydrocarbons
0.013,Kannika,16-Jan-05,Endrin
0.014,Kannika,16-Jan-05,Heptachlor
0.017,Kannika,16-Jan-05,Nitrites
0.02,Kannika,16-Jan-05,Nitrites
0.02,Kannika,16-Jan-05,Manganese
0.02,Sakda,16-Jan-05,Manganese
0.027,Sakda,16-Jan-05,Nitrites
0.029,Kannika,16-Jan-05,Nitrites
0.029,Sakda,16-Jan-05,Nitrites
0.03,Kannika,16-Jan-05,Manganese
0.031,Sakda,16-Jan-05,Dieldrin
0.032,Sakda,16-Jan-05,beta-Hexaxchlorocyclohexane
0.033,Sakda,16-Jan-05,Nitrites
0.037,Kannika,16-Jan-05,beta-Hexaxchlorocyclohexane
0.039,Sakda,16-Jan-05,Manganese
0.04,Kannika,16-Jan-05,Orthophosphate-phosphorus
0.043,Kannika,16-Jan-05,gamma-Hexachlorocyclohexane
0.045,Kannika,16-Jan-05,Orthophosphate-phosphorus
0.046,Kannika,16-Jan-05,gamma-Hexachlorocyclohexane
0.047,Kannika,16-Jan-05,Manganese
0.051,Kannika,16-Jan-05,"p,p-DDE"
0.054,Sakda,16-Jan-05,"p,p-DDE"
0.056,Sakda,16-Jan-05,Manganese
0.057,Sakda,16-Jan-05,Orthophosphate-phosphorus
0.059,Kannika,16-Jan-05,Orthophosphate-phosphorus
0.061,Kannika,16-Jan-05,gamma-Hexachlorocyclohexane
0.061,Kannika,16-Jan-05,"p,p-DDE"
0.061,Sakda,16-Jan-05,gamma-Hexachlorocyclohexane
0.062,Kannika,16-Jan-05,"p,p-DDD"
0.062,Kannika,16-Jan-05,Atrazine
0.076,Kannika,16-Jan-05,Manganese
0.076,Sakda,16-Jan-05,gamma-Hexachlorocyclohexane
0.079,Kannika,16-Jan-05,beta-Hexaxchlorocyclohexane
0.082,Sakda,16-Jan-05,Orthophosphate-phosphorus
0.083,Sakda,16-Jan-05,Total phosphorus
0.089,Kannika,16-Jan-05,beta-Hexaxchlorocyclohexane
0.09,Sakda,16-Jan-05,Endrin
0.091,Sakda,16-Jan-05,Cadmium
0.092,Kannika,16-Jan-05,"p,p-DDE"
0.096,Sakda,16-Jan-05,Manganese
0.099,Sakda,16-Jan-05,"p,p-DDE"
0.104,Kannika,16-Jan-05,alpha-Hexachlorocyclohexane
0.112,Kannika,16-Jan-05,Total phosphorus
0.113,Kannika,16-Jan-05,Iron
0.114,Sakda,16-Jan-05,"p,p-DDD"
0.119,Kannika,16-Jan-05,alpha-Hexachlorocyclohexane
0.127,Sakda,16-Jan-05,Iron
0.134,Sakda,16-Jan-05,Total phosphorus
0.139,Sakda,16-Jan-05,"p,p-DDE"
0.152,Kannika,16-Jan-05,Dieldrin
0.154,Kannika,16-Jan-05,Total phosphorus
0.155,Kannika,16-Jan-05,Total phosphorus
0.159,Kannika,16-Jan-05,Endrin
0.169,Sakda,16-Jan-05,Total phosphorus
0.17,Sakda,16-Jan-05,Iron
0.198,Kannika,16-Jan-05,Ammonium
0.198,Sakda,16-Jan-05,beta-Hexaxchlorocyclohexane
0.208,Kannika,16-Jan-05,Cadmium
0.208,Kannika,16-Jan-05,Cadmium
0.213,Sakda,16-Jan-05,Cadmium
0.252,Kannika,16-Jan-05,Cadmium
0.27,Kannika,16-Jan-05,Iron
0.271,Sakda,16-Jan-05,"p,p-DDD"
0.29,Kannika,16-Jan-05,Petroleum hydrocarbons
0.301,Kannika,16-Jan-05,"p,p-DDD"
0.312,Kannika,16-Jan-05,Iron
0.358,Sakda,16-Jan-05,Cadmium
0.522,Sakda,16-Jan-05,Iron
0.799,Sakda,16-Jan-05,Ammonium
0.865,Sakda,16-Jan-05,Ammonium
0.948,Kannika,16-Jan-05,Ammonium
0.99,Sakda,16-Jan-05,gamma-Hexachlorocyclohexane
1.04,Sakda,16-Jan-05,Ammonium
1.15,Kannika,16-Jan-05,Ammonium
1.5,Kannika,16-Jan-05,Water temperature
1.5,Kannika,16-Jan-05,Water temperature
1.5,Kannika,16-Jan-05,Water temperature
1.5,Sakda,16-Jan-05,Water temperature
1.5,Sakda,16-Jan-05,Water temperature
1.5,Sakda,16-Jan-05,Water temperature
1.584,Kannika,16-Jan-05,Lead
1.647,Sakda,16-Jan-05,Lead
1.805,Sakda,16-Jan-05,Chromium
1.902,Kannika,16-Jan-05,Lead
1.97,Sakda,16-Jan-05,Chromium
2.026,Kannika,16-Jan-05,Lead
2.2,Kannika,16-Jan-05,Biochemical Oxygen
2.3,Sakda,16-Jan-05,Biochemical Oxygen
2.4,Kannika,16-Jan-05,Biochemical Oxygen
2.4,Kannika,16-Jan-05,Nitrates
2.4,Sakda,16-Jan-05,Biochemical Oxygen
2.48,Sakda,16-Jan-05,Nitrates
2.49,Sakda,16-Jan-05,Nitrates
2.5,Kannika,16-Jan-05,Nitrates
2.5,Sakda,16-Jan-05,Biochemical Oxygen
2.6,Kannika,16-Jan-05,Chemical Oxygen Demand (Mn)
2.6,Sakda,16-Jan-05,Chemical Oxygen Demand (Mn)
2.61,Kannika,16-Jan-05,Nitrates
2.74,Sakda,16-Jan-05,Nitrates
2.8,Kannika,16-Jan-05,Chemical Oxygen Demand (Mn)
3.031,Sakda,16-Jan-05,Lead
3.08,Sakda,16-Jan-05,Lead
3.1,Sakda,16-Jan-05,Chemical Oxygen Demand (Mn)
3.5,Kannika,16-Jan-05,Biochemical Oxygen
4.22,Sakda,16-Jan-05,Chromium
4.4,Kannika,16-Jan-05,Chemical Oxygen Demand (Mn)
4.593,Sakda,16-Jan-05,Nickel
4.855,Kannika,16-Jan-05,Chromium
5.287,Kannika,16-Jan-05,Nickel
5.4,Sakda,16-Jan-05,Chemical Oxygen Demand (Mn)
5.609,Kannika,16-Jan-05,Nickel
6.181,Sakda,16-Jan-05,Nickel
6.195,Sakda,16-Jan-05,Nickel
7.299,Kannika,16-Jan-05,Nickel
10.25,Sakda,16-Jan-05,Copper
10.72,Kannika,16-Jan-05,Silica (SiO2)
10.9,Sakda,16-Jan-05,Dissolved oxygen
11.03,Sakda,16-Jan-05,Copper
11.04,Kannika,16-Jan-05,Silica (SiO2)
11.04,Sakda,16-Jan-05,Silica (SiO2)
11.1,Kannika,16-Jan-05,Dissolved oxygen
11.1,Sakda,16-Jan-05,Dissolved oxygen
11.2,Sakda,16-Jan-05,Dissolved oxygen
11.3,Kannika,16-Jan-05,Dissolved oxygen
11.4,Kannika,16-Jan-05,Dissolved oxygen
11.87,Kannika,16-Jan-05,Silica (SiO2)
12.39,Sakda,16-Jan-05,Silica (SiO2)
12.9,Sakda,16-Jan-05,Copper
13.43,Kannika,16-Jan-05,Copper
13.54,Sakda,16-Jan-05,Silica (SiO2)
13.9,Sakda,16-Jan-05,Sulphates
14.13,Kannika,16-Jan-05,Chromium
15.7,Sakda,16-Jan-05,Sulphates
15.81,Kannika,16-Jan-05,Copper
16.4,Kannika,16-Jan-05,Chromium
17,Kannika,16-Jan-05,Sulphates
17,Sakda,16-Jan-05,Sulphates
20.799999,Kannika,16-Jan-05,Sulphates
21.700001,Kannika,16-Jan-05,Sulphates
28.4,Sakda,16-Jan-05,Chlorides
28.4,Sakda,16-Jan-05,Chlorides
28.4,Sakda,16-Jan-05,Chlorides
31.799999,Kannika,16-Jan-05,Magnesium
32.099998,Kannika,16-Jan-05,Magnesium
33.599998,Kannika,16-Jan-05,Copper
34,Kannika,16-Jan-05,Zinc
34.200001,Sakda,16-Jan-05,Magnesium
34.5,Kannika,16-Jan-05,Magnesium
35.5,Kannika,16-Jan-05,Chlorides
35.5,Kannika,16-Jan-05,Chlorides
35.5,Kannika,16-Jan-05,Chlorides
36.400002,Kannika,16-Jan-05,Calcium
36.400002,Kannika,16-Jan-05,Calcium
36.700001,Sakda,16-Jan-05,Magnesium
36.700001,Sakda,16-Jan-05,Magnesium
37,Kannika,16-Jan-05,Zinc
37,Kannika,16-Jan-05,Zinc
40,Sakda,16-Jan-05,Zinc
40.400002,Kannika,16-Jan-05,Calcium
40.400002,Sakda,16-Jan-05,Calcium
40.400002,Sakda,16-Jan-05,Calcium
40.400002,Sakda,16-Jan-05,Calcium
42,Sakda,16-Jan-05,Zinc
43,Sakda,16-Jan-05,Zinc
124.599999,Kannika,16-Jan-05,Total hardness
130.300003,Kannika,16-Jan-05,Total hardness
130.300003,Kannika,16-Jan-05,Total hardness
135,Sakda,16-Jan-05,Total hardness
141,Sakda,16-Jan-05,Total hardness
141,Sakda,16-Jan-05,Total hardness
215.899994,Sakda,16-Jan-05,Bicarbonates
215.899994,Sakda,16-Jan-05,Bicarbonates
215.899994,Sakda,16-Jan-05,Bicarbonates
240.899994,Kannika,16-Jan-05,Bicarbonates
240.899994,Kannika,16-Jan-05,Bicarbonates
253.699997,Kannika,16-Jan-05,Bicarbonates
315,Kannika,16-Jan-05,Total dissolved salts
315,Sakda,16-Jan-05,Total dissolved salts
317,Sakda,16-Jan-05,Total dissolved salts
317,Sakda,16-Jan-05,Total dissolved salts
318,Kannika,16-Jan-05,Total dissolved salts
326,Kannika,16-Jan-05,Total dissolved salts
0,Somchair,22-Jan-05,Mercury
0,Somchair,22-Jan-05,Atrazine
0,Somchair,22-Jan-05,Heptachloroepoxide
0,Somchair,22-Jan-05,Endosulfan (alpha)
0,Somchair,22-Jan-05,Endosulfan (beta)
0,Somchair,22-Jan-05,Aldrin
0,Busarakhan,22-Jan-05,Mercury
0,Busarakhan,22-Jan-05,Atrazine
0,Busarakhan,22-Jan-05,Heptachloroepoxide
0,Busarakhan,22-Jan-05,Endosulfan (alpha)
0,Busarakhan,22-Jan-05,Endosulfan (beta)
0,Busarakhan,22-Jan-05,Aldrin
0.018,Busarakhan,22-Jan-05,Heptachlor
0.022,Somchair,22-Jan-05,Heptachlor
0.028,Somchair,22-Jan-05,Nitrites
0.028,Busarakhan,22-Jan-05,Nitrites
0.047,Busarakhan,22-Jan-05,Endrin
0.054,Busarakhan,22-Jan-05,beta-Hexaxchlorocyclohexane
0.056,Somchair,22-Jan-05,Orthophosphate-phosphorus
0.059,Busarakhan,22-Jan-05,gamma-Hexachlorocyclohexane
0.061,Somchair,22-Jan-05,beta-Hexaxchlorocyclohexane
0.064,Somchair,22-Jan-05,Total phosphorus
0.067,Busarakhan,22-Jan-05,Dieldrin
0.069,Somchair,22-Jan-05,gamma-Hexachlorocyclohexane
0.077,Somchair,22-Jan-05,Endrin
0.078,Somchair,22-Jan-05,Dieldrin
0.082,Busarakhan,22-Jan-05,Manganese
0.096,Somchair,22-Jan-05,Manganese
0.096,Busarakhan,22-Jan-05,Orthophosphate-phosphorus
0.126,Busarakhan,22-Jan-05,alpha-Hexachlorocyclohexane
0.146,Somchair,22-Jan-05,"p,p-DDD"
0.153,Somchair,22-Jan-05,alpha-Hexachlorocyclohexane
0.177,Busarakhan,22-Jan-05,Total phosphorus
0.179,Busarakhan,22-Jan-05,Iron
0.198,Somchair,22-Jan-05,Iron
0.229,Busarakhan,22-Jan-05,Cadmium
0.234,Somchair,22-Jan-05,Cadmium
0.242,Busarakhan,22-Jan-05,"p,p-DDE"
0.289,Somchair,22-Jan-05,"p,p-DDE"
0.501,Busarakhan,22-Jan-05,"p,p-DDD"
0.744,Busarakhan,22-Jan-05,Ammonium
0.78,Somchair,22-Jan-05,Ammonium
1,Somchair,22-Jan-05,Water temperature
1,Busarakhan,22-Jan-05,Water temperature
1.5,Somchair,22-Jan-05,Biochemical Oxygen
2.16,Somchair,22-Jan-05,Nitrates
2.37,Busarakhan,22-Jan-05,Nitrates
2.5,Somchair,22-Jan-05,Chemical Oxygen Demand (Mn)
3.17,Busarakhan,22-Jan-05,Petroleum hydrocarbons
3.3,Busarakhan,22-Jan-05,Biochemical Oxygen
3.667,Busarakhan,22-Jan-05,Chromium
4.337,Somchair,22-Jan-05,Chromium
4.9,Somchair,22-Jan-05,Petroleum hydrocarbons
5.9,Busarakhan,22-Jan-05,Chemical Oxygen Demand (Mn)
9.09,Somchair,22-Jan-05,Silica (SiO2)
9.487,Busarakhan,22-Jan-05,Nickel
9.9,Somchair,22-Jan-05,Magnesium
9.9,Busarakhan,22-Jan-05,Magnesium
10.3,Busarakhan,22-Jan-05,Dissolved oxygen
10.4,Somchair,22-Jan-05,Dissolved oxygen
10.5,Somchair,22-Jan-05,Nickel
11.63,Busarakhan,22-Jan-05,Lead
14.63,Busarakhan,22-Jan-05,Copper
16.34,Somchair,22-Jan-05,Copper
17.290001,Somchair,22-Jan-05,Lead
46,Busarakhan,22-Jan-05,Zinc
48.5,Somchair,22-Jan-05,Sulphates
49,Somchair,22-Jan-05,Zinc
53.900002,Busarakhan,22-Jan-05,Sulphates
64.699997,Somchair,22-Jan-05,Calcium
64.699997,Busarakhan,22-Jan-05,Calcium
106.5,Busarakhan,22-Jan-05,Chlorides
113.300003,Busarakhan,22-Jan-05,Total hardness
113.599999,Somchair,22-Jan-05,Chlorides
118.900002,Somchair,22-Jan-05,Total hardness
228.100006,Busarakhan,22-Jan-05,Bicarbonates
253.699997,Somchair,22-Jan-05,Bicarbonates
511,Somchair,22-Jan-05,Total dissolved salts
527,Busarakhan,22-Jan-05,Total dissolved salts
0,Chai,27-Jan-05,Heptachloroepoxide
0,Chai,27-Jan-05,Endosulfan (beta)
0,Chai,27-Jan-05,Aldrin
0,Chai,27-Jan-05,Endrin
0,Chai,27-Jan-05,Biochemical Oxygen
0,Chai,27-Jan-05,Heptachloroepoxide
0,Chai,27-Jan-05,Endosulfan (alpha)
0,Chai,27-Jan-05,Endosulfan (beta)
0,Chai,27-Jan-05,Aldrin
0,Chai,27-Jan-05,Dieldrin
0,Chai,27-Jan-05,Endrin
0,Chai,27-Jan-05,Mercury
0,Chai,27-Jan-05,Heptachloroepoxide
0,Chai,27-Jan-05,Endosulfan (alpha)
0,Chai,27-Jan-05,Endosulfan (beta)
0,Chai,27-Jan-05,Aldrin
0.012,Chai,27-Jan-05,Heptachlor
0.02,Chai,27-Jan-05,Manganese
0.023,Chai,27-Jan-05,Heptachlor
0.036,Chai,27-Jan-05,Nitrites
0.038,Chai,27-Jan-05,Manganese
0.039,Chai,27-Jan-05,Orthophosphate-phosphorus
0.039,Chai,27-Jan-05,Orthophosphate-phosphorus
0.04,Chai,27-Jan-05,Nitrites
0.042,Chai,27-Jan-05,Orthophosphate-phosphorus
0.042,Chai,27-Jan-05,Nitrites
0.042,Chai,27-Jan-05,beta-Hexaxchlorocyclohexane
0.057,Chai,27-Jan-05,beta-Hexaxchlorocyclohexane
0.057,Chai,27-Jan-05,Endrin
0.058,Chai,27-Jan-05,Dieldrin
0.058,Chai,27-Jan-05,Manganese
0.063,Chai,27-Jan-05,Total phosphorus
0.064,Chai,27-Jan-05,"p,p-DDD"
0.075,Chai,27-Jan-05,alpha-Hexachlorocyclohexane
0.084,Chai,27-Jan-05,Total phosphorus
0.087,Chai,27-Jan-05,Dieldrin
0.092,Chai,27-Jan-05,alpha-Hexachlorocyclohexane
0.101,Chai,27-Jan-05,Total phosphorus
0.102,Chai,27-Jan-05,Cadmium
0.123,Chai,27-Jan-05,Manganese
0.152,Chai,27-Jan-05,Endosulfan (alpha)
0.174,Chai,27-Jan-05,alpha-Hexachlorocyclohexane
0.177,Chai,27-Jan-05,"p,p-DDE"
0.21,Chai,27-Jan-05,Cadmium
0.218,Chai,27-Jan-05,"p,p-DDE"
0.245,Chai,27-Jan-05,beta-Hexaxchlorocyclohexane
0.301,Chai,27-Jan-05,"p,p-DDE"
0.339,Chai,27-Jan-05,Cadmium
0.365,Chai,27-Jan-05,Ammonium
0.387,Chai,27-Jan-05,Iron
0.483,Chai,27-Jan-05,Mercury
0.564,Chai,27-Jan-05,Ammonium
0.576,Chai,27-Jan-05,Iron
0.58,Chai,27-Jan-05,Petroleum hydrocarbons
0.644,Chai,27-Jan-05,Ammonium
0.72,Chai,27-Jan-05,Biochemical Oxygen
0.782,Chai,27-Jan-05,"p,p-DDD"
0.976,Chai,27-Jan-05,"p,p-DDD"
1.27,Chai,27-Jan-05,Mercury
2,Chai,27-Jan-05,Water temperature
2,Chai,27-Jan-05,Biochemical Oxygen
2,Chai,27-Jan-05,Water temperature
2,Chai,27-Jan-05,Water temperature
2.5,Chai,27-Jan-05,Nitrates
2.5,Chai,27-Jan-05,Iron
2.56,Chai,27-Jan-05,Nitrates
2.62,Chai,27-Jan-05,Nitrates
2.895,Chai,27-Jan-05,Chromium
3.36,Chai,27-Jan-05,Chromium
3.6,Chai,27-Jan-05,Chemical Oxygen Demand (Mn)
3.6,Chai,27-Jan-05,Chemical Oxygen Demand (Mn)
3.7,Chai,27-Jan-05,Chemical Oxygen Demand (Mn)
4.371,Chai,27-Jan-05,Nickel
4.746,Chai,27-Jan-05,Nickel
5.345,Chai,27-Jan-05,Lead
6.422,Chai,27-Jan-05,Lead
7.342,Chai,27-Jan-05,Copper
7.512,Chai,27-Jan-05,Chromium
9.761,Chai,27-Jan-05,Copper
9.802,Chai,27-Jan-05,Nickel
10.93,Chai,27-Jan-05,Silica (SiO2)
11.2,Chai,27-Jan-05,Dissolved oxygen
11.4,Chai,27-Jan-05,Dissolved oxygen
11.4,Chai,27-Jan-05,Silica (SiO2)
11.5,Chai,27-Jan-05,Dissolved oxygen
11.66,Chai,27-Jan-05,Silica (SiO2)
12.6,Chai,27-Jan-05,Sulphates
14,Chai,27-Jan-05,Sulphates
14.1,Chai,27-Jan-05,Sulphates
17.59,Chai,27-Jan-05,Copper
19.32,Chai,27-Jan-05,Lead
24.5,Chai,27-Jan-05,Magnesium
24.5,Chai,27-Jan-05,Magnesium
26.9,Chai,27-Jan-05,Magnesium
33,Chai,27-Jan-05,Zinc
35.5,Chai,27-Jan-05,Chlorides
35.5,Chai,27-Jan-05,Chlorides
35.5,Chai,27-Jan-05,Chlorides
40.400002,Chai,27-Jan-05,Calcium
47,Chai,27-Jan-05,Zinc
48.5,Chai,27-Jan-05,Calcium
48.5,Chai,27-Jan-05,Calcium
79,Chai,27-Jan-05,Zinc
118,Chai,27-Jan-05,Total hardness
124,Chai,27-Jan-05,Total hardness
124,Chai,27-Jan-05,Total hardness
203.300003,Chai,27-Jan-05,Bicarbonates
216,Chai,27-Jan-05,Bicarbonates
216,Chai,27-Jan-05,Bicarbonates
266,Chai,27-Jan-05,Total dissolved salts
