value,location,sample date,measure
0.072,Sakda,9-Jan-16,Total phosphorus
0.063,Sakda,9-Jan-16,Total dissolved phosphorus
17.6,Sakda,9-Jan-16,Sodium
2.8,Sakda,9-Jan-16,Potassium
67.33,Sakda,9-Jan-16,Calcium
12.65,Sakda,9-Jan-16,Magnesium
23.38,Sakda,9-Jan-16,Chlorides
31.89,Sakda,9-Jan-16,Sulphates
23,Sakda,9-Jan-16,Zinc
4.56,Sakda,9-Jan-16,Copper
1.12,Sakda,9-Jan-16,Chromium
0,Sakda,9-Jan-16,Lead
0.23,Sakda,9-Jan-16,Cadmium
0,Sakda,9-Jan-16,Mercury
1.42,Sakda,9-Jan-16,Nickel
1.8,Sakda,9-Jan-16,Arsenic
2.46,Sakda,9-Jan-16,Biochemical Oxygen
7.12,Sakda,9-Jan-16,Chemical Oxygen Demand (Cr)
4.67,Sakda,9-Jan-16,Chemical Oxygen Demand (Mn)
0,Sakda,9-Jan-16,Atrazine
0,Sakda,9-Jan-16,"p,p-DDT"
0,Sakda,9-Jan-16,gamma-Hexachlorocyclohexane
3.3,Sakda,9-Jan-16,Water temperature
12.43,Sakda,9-Jan-16,Dissolved oxygen
219.652,Sakda,9-Jan-16,Total hardness
206.79,Sakda,9-Jan-16,Bicarbonates
238.4,Sakda,9-Jan-16,Total dissolved salts
0.113,Sakda,9-Jan-16,Ammonium
0.022,Sakda,9-Jan-16,Nitrites
1.37,Sakda,9-Jan-16,Nitrates
1.81,Sakda,9-Jan-16,Total nitrogen
0.045,Sakda,9-Jan-16,Orthophosphate-phosphorus
0.076,Sakda,9-Jan-16,Total phosphorus
0.06,Sakda,9-Jan-16,Total dissolved phosphorus
17.6,Sakda,9-Jan-16,Sodium
2.7,Sakda,9-Jan-16,Potassium
68.14,Sakda,9-Jan-16,Calcium
12.16,Sakda,9-Jan-16,Magnesium
22.99,Sakda,9-Jan-16,Chlorides
30.21,Sakda,9-Jan-16,Sulphates
27,Sakda,9-Jan-16,Zinc
5.45,Sakda,9-Jan-16,Copper
1.47,Sakda,9-Jan-16,Chromium
0,Sakda,9-Jan-16,Lead
0.19,Sakda,9-Jan-16,Cadmium
0,Sakda,9-Jan-16,Mercury
1.68,Sakda,9-Jan-16,Nickel
1.8,Sakda,9-Jan-16,Arsenic
2.28,Sakda,9-Jan-16,Biochemical Oxygen
6.73,Sakda,9-Jan-16,Chemical Oxygen Demand (Cr)
4.67,Sakda,9-Jan-16,Chemical Oxygen Demand (Mn)
0,Sakda,9-Jan-16,Atrazine
0,Sakda,9-Jan-16,"p,p-DDT"
0,Sakda,9-Jan-16,gamma-Hexachlorocyclohexane
3.5,Sakda,9-Jan-16,Water temperature
12.49,Sakda,9-Jan-16,Dissolved oxygen
221.61,Sakda,9-Jan-16,Total hardness
213.5,Sakda,9-Jan-16,Bicarbonates
236,Sakda,9-Jan-16,Total dissolved salts
0.113,Sakda,9-Jan-16,Ammonium
0.022,Sakda,9-Jan-16,Nitrites
1.449,Sakda,9-Jan-16,Nitrates
1.91,Sakda,9-Jan-16,Total nitrogen
0.046,Sakda,9-Jan-16,Orthophosphate-phosphorus
0.071,Sakda,9-Jan-16,Total phosphorus
0.062,Sakda,9-Jan-16,Total dissolved phosphorus
17.5,Sakda,9-Jan-16,Sodium
2.8,Sakda,9-Jan-16,Potassium
68.94,Sakda,9-Jan-16,Calcium
12.16,Sakda,9-Jan-16,Magnesium
23.38,Sakda,9-Jan-16,Chlorides
30.71,Sakda,9-Jan-16,Sulphates
26,Sakda,9-Jan-16,Zinc
4.35,Sakda,9-Jan-16,Copper
2.14,Sakda,9-Jan-16,Chromium
0,Sakda,9-Jan-16,Lead
0.31,Sakda,9-Jan-16,Cadmium
0,Sakda,9-Jan-16,Mercury
1.61,Sakda,9-Jan-16,Nickel
2.2,Sakda,9-Jan-16,Arsenic
2.69,Sakda,9-Jan-16,Biochemical Oxygen
7.52,Sakda,9-Jan-16,Chemical Oxygen Demand (Cr)
4.73,Sakda,9-Jan-16,Chemical Oxygen Demand (Mn)
0,Sakda,9-Jan-16,Atrazine
0,Sakda,9-Jan-16,"p,p-DDT"
0,Sakda,9-Jan-16,gamma-Hexachlorocyclohexane
3.8,Chai,10-Jan-16,Water temperature
0.001,Kannika,10-Jan-16,AGOC-3A
0.06,Kannika,10-Jan-16,Methylosmoline
0.02,Kannika,10-Jan-16,Chlorodinine
0.025,Kannika,10-Jan-16,AGOC-3A
0.005,Kannika,10-Jan-16,Methylosmoline
0.002,Kannika,10-Jan-16,Chlorodinine
0.04,Kannika,10-Jan-16,AGOC-3A
0.002,Kannika,10-Jan-16,Methylosmoline
0.03,Kannika,10-Jan-16,Chlorodinine
0.033,Sakda,10-Jan-16,AGOC-3A
0.012,Sakda,10-Jan-16,Methylosmoline
0.033,Sakda,10-Jan-16,Chlorodinine
0.026,Sakda,10-Jan-16,AGOC-3A
0.048,Sakda,10-Jan-16,Methylosmoline
0.019,Sakda,10-Jan-16,Chlorodinine
0.042,Sakda,10-Jan-16,AGOC-3A
0.033,Sakda,10-Jan-16,Methylosmoline
0.04,Sakda,10-Jan-16,Chlorodinine
3.8,Chai,11-Jan-16,Water temperature
4,Chai,12-Jan-16,Water temperature
4,Chai,13-Jan-16,Water temperature
2,Somchair,14-Jan-16,Water temperature
11.7,Somchair,14-Jan-16,Dissolved oxygen
247.34,Somchair,14-Jan-16,Total hardness
597,Somchair,14-Jan-16,Total dissolved salts
0.269,Somchair,14-Jan-16,Ammonium
0.027,Somchair,14-Jan-16,Nitrites
2.46,Somchair,14-Jan-16,Nitrates
2.88,Somchair,14-Jan-16,Total nitrogen
0.031,Somchair,14-Jan-16,Orthophosphate-phosphorus
0.048,Somchair,14-Jan-16,Total phosphorus
63.4,Somchair,14-Jan-16,Calcium
21.8,Somchair,14-Jan-16,Magnesium
109.35,Somchair,14-Jan-16,Chlorides
74.2,Somchair,14-Jan-16,Sulphates
1.22,Somchair,14-Jan-16,Biochemical Oxygen
28.94,Somchair,14-Jan-16,Chemical Oxygen Demand (Cr)
4.26,Somchair,14-Jan-16,Chemical Oxygen Demand (Mn)
0,Somchair,14-Jan-16,Anionic active surfactants
0,Somchair,14-Jan-16,Atrazine
0,Somchair,14-Jan-16,"p,p-DDT"
0,Somchair,14-Jan-16,gamma-Hexachlorocyclohexane
2,Busarakhan,14-Jan-16,Water temperature
10.12,Busarakhan,14-Jan-16,Dissolved oxygen
368.74,Busarakhan,14-Jan-16,Total hardness
1019,Busarakhan,14-Jan-16,Total dissolved salts
0.085,Busarakhan,14-Jan-16,Ammonium
0.012,Busarakhan,14-Jan-16,Nitrites
2.14,Busarakhan,14-Jan-16,Nitrates
2.45,Busarakhan,14-Jan-16,Total nitrogen
0.012,Busarakhan,14-Jan-16,Orthophosphate-phosphorus
0.086,Busarakhan,14-Jan-16,Total phosphorus
37.6,Busarakhan,14-Jan-16,Calcium
66.2,Busarakhan,14-Jan-16,Magnesium
169.19,Busarakhan,14-Jan-16,Chlorides
115.33,Busarakhan,14-Jan-16,Sulphates
1.56,Busarakhan,14-Jan-16,Biochemical Oxygen
25.08,Busarakhan,14-Jan-16,Chemical Oxygen Demand (Cr)
0,Busarakhan,14-Jan-16,Anionic active surfactants
0,Busarakhan,14-Jan-16,Atrazine
0,Busarakhan,14-Jan-16,"p,p-DDT"
0,Busarakhan,14-Jan-16,gamma-Hexachlorocyclohexane
0.39,Decha,14-Jan-16,Ammonium
0.019,Decha,14-Jan-16,Nitrites
0.972,Decha,14-Jan-16,Nitrates
1.65,Decha,14-Jan-16,Total nitrogen
0.036,Decha,14-Jan-16,Orthophosphate-phosphorus
0.071,Decha,14-Jan-16,Total phosphorus
3.8,Chai,14-Jan-16,Water temperature
5,Achara,15-Jan-16,Water temperature
12.6,Achara,15-Jan-16,Dissolved oxygen
99,Achara,15-Jan-16,Oxygen saturation
110.6,Achara,15-Jan-16,Total hardness
176,Achara,15-Jan-16,Total dissolved salts
0.13,Achara,15-Jan-16,Ammonium
0.018,Achara,15-Jan-16,Nitrites
0.94,Achara,15-Jan-16,Nitrates
1.24,Achara,15-Jan-16,Total nitrogen
0.016,Achara,15-Jan-16,Orthophosphate-phosphorus
0.037,Achara,15-Jan-16,Total phosphorus
1.4,Achara,15-Jan-16,Dissolved silicates
37.9,Achara,15-Jan-16,Calcium
3.9,Achara,15-Jan-16,Magnesium
11.8,Achara,15-Jan-16,Chlorides
0,Achara,15-Jan-16,Lead
0,Achara,15-Jan-16,Cadmium
0,Achara,15-Jan-16,Mercury
0,Achara,15-Jan-16,Nickel
2.4,Achara,15-Jan-16,Biochemical Oxygen
5,Achara,15-Jan-16,Chemical Oxygen Demand (Cr)
0,Achara,15-Jan-16,Petroleum hydrocarbons
0,Achara,15-Jan-16,Atrazine
0,Achara,15-Jan-16,"p,p-DDT"
0,Achara,15-Jan-16,gamma-Hexachlorocyclohexane
4,Chai,15-Jan-16,Water temperature
4.5,Chai,16-Jan-16,Water temperature
10.37,Chai,16-Jan-16,Dissolved oxygen
217.516,Chai,16-Jan-16,Total hardness
336,Chai,16-Jan-16,Total dissolved salts
0.144,Chai,16-Jan-16,Ammonium
0.024,Chai,16-Jan-16,Nitrites
2.955,Chai,16-Jan-16,Nitrates
3.2,Chai,16-Jan-16,Total nitrogen
0.05,Chai,16-Jan-16,Orthophosphate-phosphorus
0.054,Chai,16-Jan-16,Total phosphorus
60,Chai,16-Jan-16,Calcium
17,Chai,16-Jan-16,Magnesium
26.99,Chai,16-Jan-16,Chlorides
42.81,Chai,16-Jan-16,Sulphates
1.973,Chai,16-Jan-16,Lead
2.105,Chai,16-Jan-16,Nickel
0.76,Chai,16-Jan-16,Biochemical Oxygen
20.41,Chai,16-Jan-16,Chemical Oxygen Demand (Cr)
2.13,Chai,16-Jan-16,Chemical Oxygen Demand (Mn)
0,Chai,16-Jan-16,Anionic active surfactants
0,Chai,16-Jan-16,Atrazine
0,Chai,16-Jan-16,"p,p-DDT"
0,Chai,16-Jan-16,gamma-Hexachlorocyclohexane
4.5,Chai,16-Jan-16,Water temperature
9.98,Chai,16-Jan-16,Dissolved oxygen
217.516,Chai,16-Jan-16,Total hardness
333,Chai,16-Jan-16,Total dissolved salts
0.069,Chai,16-Jan-16,Ammonium
0.024,Chai,16-Jan-16,Nitrites
2.92,Chai,16-Jan-16,Nitrates
3.014,Chai,16-Jan-16,Total nitrogen
0.042,Chai,16-Jan-16,Orthophosphate-phosphorus
0.071,Chai,16-Jan-16,Total phosphorus
56,Chai,16-Jan-16,Calcium
19,Chai,16-Jan-16,Magnesium
25.44,Chai,16-Jan-16,Chlorides
45.82,Chai,16-Jan-16,Sulphates
1.973,Chai,16-Jan-16,Lead
2.315,Chai,16-Jan-16,Nickel
0.77,Chai,16-Jan-16,Biochemical Oxygen
19.44,Chai,16-Jan-16,Chemical Oxygen Demand (Cr)
2.13,Chai,16-Jan-16,Chemical Oxygen Demand (Mn)
0,Chai,16-Jan-16,Anionic active surfactants
0,Chai,16-Jan-16,Atrazine
0,Chai,16-Jan-16,"p,p-DDT"
0,Chai,16-Jan-16,gamma-Hexachlorocyclohexane
4.5,Chai,16-Jan-16,Water temperature
10.26,Chai,16-Jan-16,Dissolved oxygen
217.516,Chai,16-Jan-16,Total hardness
331,Chai,16-Jan-16,Total dissolved salts
0.053,Chai,16-Jan-16,Ammonium
0.026,Chai,16-Jan-16,Nitrites
2.83,Chai,16-Jan-16,Nitrates
2.94,Chai,16-Jan-16,Total nitrogen
0.05,Chai,16-Jan-16,Orthophosphate-phosphorus
0.065,Chai,16-Jan-16,Total phosphorus
60,Chai,16-Jan-16,Calcium
17,Chai,16-Jan-16,Magnesium
24.07,Chai,16-Jan-16,Chlorides
47.68,Chai,16-Jan-16,Sulphates
1.973,Chai,16-Jan-16,Lead
0,Chai,16-Jan-16,Nickel
0.94,Chai,16-Jan-16,Biochemical Oxygen
21.38,Chai,16-Jan-16,Chemical Oxygen Demand (Cr)
2.28,Chai,16-Jan-16,Chemical Oxygen Demand (Mn)
0,Chai,16-Jan-16,Anionic active surfactants
0,Chai,16-Jan-16,Atrazine
0,Chai,16-Jan-16,"p,p-DDT"
0,Chai,16-Jan-16,gamma-Hexachlorocyclohexane
3.6,Chai,17-Jan-16,Water temperature
0.027,Chai,17-Jan-16,AGOC-3A
4.156,Chai,17-Jan-16,Methylosmoline
0.007,Chai,17-Jan-16,Chlorodinine
0.015,Chai,17-Jan-16,AGOC-3A
1.288,Chai,17-Jan-16,Methylosmoline
0.062,Chai,17-Jan-16,Chlorodinine
0.006,Chai,17-Jan-16,AGOC-3A
1.345,Chai,17-Jan-16,Methylosmoline
0.003,Chai,17-Jan-16,Chlorodinine
3.8,Chai,18-Jan-16,Water temperature
4,Chai,19-Jan-16,Water temperature
4.2,Chai,20-Jan-16,Water temperature
6.1,Decha,21-Jan-16,Water temperature
12.6,Decha,21-Jan-16,Dissolved oxygen
101.69,Decha,21-Jan-16,Oxygen saturation
0.257,Decha,21-Jan-16,Ammonium
0.019,Decha,21-Jan-16,Nitrites
0.754,Decha,21-Jan-16,Nitrates
1.837,Decha,21-Jan-16,Total nitrogen
0.03,Decha,21-Jan-16,Orthophosphate-phosphorus
0.157,Decha,21-Jan-16,Total phosphorus
25.95,Decha,21-Jan-16,Sodium
3.16,Decha,21-Jan-16,Potassium
54.19,Decha,21-Jan-16,Calcium
13.65,Decha,21-Jan-16,Magnesium
0,Decha,21-Jan-16,Mercury
3,Decha,21-Jan-16,Biochemical Oxygen
47.2,Decha,21-Jan-16,Chemical Oxygen Demand (Cr)
3.6,Decha,21-Jan-16,Chemical Oxygen Demand (Mn)
0,Decha,21-Jan-16,Anionic active surfactants
0,Decha,21-Jan-16,Petroleum hydrocarbons
5.3,Chai,21-Jan-16,Water temperature
11.39,Chai,21-Jan-16,Dissolved oxygen
0.109,Chai,21-Jan-16,Ammonium
0.055,Chai,21-Jan-16,Nitrites
2.38,Chai,21-Jan-16,Nitrates
2.68,Chai,21-Jan-16,Total nitrogen
0.048,Chai,21-Jan-16,Orthophosphate-phosphorus
0.05,Chai,21-Jan-16,Total phosphorus
1.09,Chai,21-Jan-16,Biochemical Oxygen
5.2,Chai,21-Jan-16,Water temperature
11.07,Chai,21-Jan-16,Dissolved oxygen
0.118,Chai,21-Jan-16,Ammonium
0.037,Chai,21-Jan-16,Nitrites
2.44,Chai,21-Jan-16,Nitrates
2.8,Chai,21-Jan-16,Total nitrogen
0.047,Chai,21-Jan-16,Orthophosphate-phosphorus
0.048,Chai,21-Jan-16,Total phosphorus
0.71,Chai,21-Jan-16,Biochemical Oxygen
5.3,Chai,21-Jan-16,Water temperature
11.24,Chai,21-Jan-16,Dissolved oxygen
0.097,Chai,21-Jan-16,Ammonium
0.035,Chai,21-Jan-16,Nitrites
2.46,Chai,21-Jan-16,Nitrates
2.8,Chai,21-Jan-16,Total nitrogen
0.046,Chai,21-Jan-16,Orthophosphate-phosphorus
0.049,Chai,21-Jan-16,Total phosphorus
0.84,Chai,21-Jan-16,Biochemical Oxygen
5.5,Boonsri,22-Jan-16,Water temperature
0.074,Boonsri,22-Jan-16,Ammonium
0.018,Boonsri,22-Jan-16,Nitrites
1.501,Boonsri,22-Jan-16,Nitrates
2.076,Boonsri,22-Jan-16,Total nitrogen
0.032,Boonsri,22-Jan-16,Orthophosphate-phosphorus
0.087,Boonsri,22-Jan-16,Total phosphorus
0.053,Boonsri,22-Jan-16,Total dissolved phosphorus
1.65,Boonsri,22-Jan-16,Biochemical Oxygen
1.73,Boonsri,22-Jan-16,Chemical Oxygen Demand (Mn)
5.5,Boonsri,22-Jan-16,Water temperature
0.101,Boonsri,22-Jan-16,Ammonium
0.018,Boonsri,22-Jan-16,Nitrites
1.45,Boonsri,22-Jan-16,Nitrates
2.142,Boonsri,22-Jan-16,Total nitrogen
0.039,Boonsri,22-Jan-16,Orthophosphate-phosphorus
0.169,Boonsri,22-Jan-16,Total phosphorus
0.057,Boonsri,22-Jan-16,Total dissolved phosphorus
1.5,Boonsri,22-Jan-16,Biochemical Oxygen
1.8,Boonsri,22-Jan-16,Chemical Oxygen Demand (Mn)
5.5,Boonsri,22-Jan-16,Water temperature
0.077,Boonsri,22-Jan-16,Ammonium
0.02,Boonsri,22-Jan-16,Nitrites
1.519,Boonsri,22-Jan-16,Nitrates
2.23,Boonsri,22-Jan-16,Total nitrogen
0.037,Boonsri,22-Jan-16,Orthophosphate-phosphorus
0.144,Boonsri,22-Jan-16,Total phosphorus
0.051,Boonsri,22-Jan-16,Total dissolved phosphorus
1.6,Boonsri,22-Jan-16,Biochemical Oxygen
1.94,Boonsri,22-Jan-16,Chemical Oxygen Demand (Mn)
4.4,Chai,22-Jan-16,Water temperature
4.4,Chai,23-Jan-16,Water temperature
3.5,Kohsoom,23-Jan-16,Water temperature
8.7,Kohsoom,23-Jan-16,Dissolved oxygen
67.59,Kohsoom,23-Jan-16,Oxygen saturation
235.241,Kohsoom,23-Jan-16,Total hardness
226.37,Kohsoom,23-Jan-16,Bicarbonates
325,Kohsoom,23-Jan-16,Total dissolved salts
1.9535,Kohsoom,23-Jan-16,Ammonium
0.0701,Kohsoom,23-Jan-16,Nitrites
0.5395,Kohsoom,23-Jan-16,Nitrates
3.766,Kohsoom,23-Jan-16,Total nitrogen
0.1944,Kohsoom,23-Jan-16,Orthophosphate-phosphorus
0.2646,Kohsoom,23-Jan-16,Total phosphorus
0.2274,Kohsoom,23-Jan-16,Total dissolved phosphorus
23.2,Kohsoom,23-Jan-16,Sodium
2.1,Kohsoom,23-Jan-16,Potassium
70.58,Kohsoom,23-Jan-16,Calcium
14.02,Kohsoom,23-Jan-16,Magnesium
39.053,Kohsoom,23-Jan-16,Chlorides
47.576,Kohsoom,23-Jan-16,Sulphates
5.5,Kohsoom,23-Jan-16,Biochemical Oxygen
61.88,Kohsoom,23-Jan-16,Chemical Oxygen Demand (Cr)
